Transcript_ID,HUVEC_low1,HUVEC_low2,HUVEC_low3,HUVEC_high1,HUVEC_high2,HUVEC_high3,HUVEC_high4,HUAEC_low1,HUAEC_low2,HUAEC_low3,HUAEC_low4,HUAEC_high1,HUAEC_high2,HUAEC_high3,HUAEC_high4
ENST00000678945.1,18.91001713,9.252394557,7.430431934,8.265382175,9.779800458,10.25865613,6.413331739,6.096019257,8.44754223,9.636592797,7.320629986,12.05209377,0,9.361032497,11.02849119
ENST00000678949.1,7.962112475,5.287082604,5.572823951,17.35730257,4.889900229,18.80753624,2.565332695,10.1600321,19.49432822,4.216009349,10.57424331,16.06945836,0,20.59427149,28.18392192
ENST00000678950.1,0,0,1.857607984,0,0.977980046,0.854888011,0,1.01600321,0,0.60228705,0.813403332,1.004341147,0,0,0
ENST00000678951.1,4.976320297,3.965311953,0,7.438843957,5.867880275,5.129328065,3.847999043,2.032006419,3.898865644,2.409148199,2.440209995,4.017364589,0,0,4.901551639
ENST00000678952.1,28.86265772,26.43541302,29.72172774,39.67383444,21.51556101,31.6308564,29.501326,38.60812196,47.43619867,32.52350069,27.65571328,23.09984639,31.01452725,29.01920074,20.83159446
ENST00000678954.1,78.62586069,51.54905539,44.5825916,47.93921661,45.96506215,44.45417656,35.91465774,45.72014443,56.53355184,45.17152873,46.36398991,43.18666933,39.87582075,43.99685274,49.01551639
ENST00000678955.1,14.92896089,10.57416521,11.1456479,5.785767522,4.889900229,6.839104087,3.847999043,4.064012838,3.249054704,5.420583448,9.760839982,8.034729178,4.43064675,5.616619498,9.803103277
ENST00000678956.1,0,1.321770651,1.857607984,0,1.955960092,0.854888011,0,1.01600321,0,0.60228705,0,1.004341147,0,0,1.22538791
ENST00000678957.1,0,0,1.857607984,0.826538217,0,1.709776022,1.282666348,0,0,0,0,2.008682294,0,0,0
ENST00000678960.1,3.981056238,2.643541302,0,0.826538217,0.977980046,0,0,0,0,0,4.067016659,0,0,0,3.676163729
ENST00000678962.1,24.88160148,34.36603692,31.57933572,44.63306374,34.2293016,44.45417656,38.47999043,34.54410912,28.59168139,34.33036184,30.09592328,36.1562813,53.167761,41.18854299,42.88857684
ENST00000678963.1,3.981056238,0,7.430431934,1.653076435,2.933940137,2.564664033,1.282666348,1.01600321,3.898865644,4.216009349,0.813403332,2.008682294,0,5.616619498,6.126939548
ENST00000678964.1,9.952640594,9.252394557,5.572823951,9.918458609,5.867880275,14.53309618,11.54399713,16.25605135,12.99621881,5.420583448,8.134033318,4.017364589,13.29194025,7.488825998,3.676163729
ENST00000678965.1,0.995264059,0,3.715215967,1.653076435,0,3.419552043,1.282666348,1.01600321,6.498109407,4.818296398,4.067016659,2.008682294,0,2.808309749,1.22538791
ENST00000678966.1,2.985792178,7.930623906,7.430431934,3.30615287,3.911920183,1.709776022,5.130665391,8.128025676,5.848298467,8.432018697,4.067016659,7.030388031,8.8612935,2.808309749,2.450775819
ENST00000678968.1,12.93843277,9.252394557,11.1456479,9.918458609,11.73576055,20.51731226,11.54399713,7.112022467,8.44754223,7.829731647,15.4546633,9.039070325,13.29194025,11.233239,13.47926701
ENST00000678969.1,28.86265772,26.43541302,24.14890379,27.27576118,30.31738142,36.76018447,41.04532313,31.4960995,33.79016892,25.89834314,22.77529329,39.16930474,35.445174,27.14699424,39.21241311
ENST00000678971.1,4.976320297,3.965311953,0,4.132691087,0.977980046,1.709776022,3.847999043,4.064012838,1.949432822,5.420583448,4.880419991,2.008682294,0,4.680516249,4.901551639
ENST00000678972.1,0.995264059,2.643541302,0,0,0,1.709776022,1.282666348,0,0,1.806861149,0,5.021705736,0,2.808309749,1.22538791
ENST00000678973.1,28.86265772,60.80144994,39.00976765,55.37806057,46.9430422,74.37525694,59.00265199,65.02420541,43.53733303,51.19439923,46.36398991,54.23442195,66.45970125,53.35788523,39.21241311
ENST00000678974.1,6.966848416,3.965311953,0,6.61230574,5.867880275,4.274440054,1.282666348,4.064012838,3.898865644,5.420583448,0.813403332,3.013023442,8.8612935,0,4.901551639
ENST00000678975.1,14.92896089,10.57416521,16.71847185,9.918458609,13.69172064,15.3879842,7.695998086,10.1600321,14.94565164,16.26175034,14.64125997,12.05209377,13.29194025,16.84985849,14.70465492
ENST00000678977.1,1.990528119,0,0,1.653076435,0.977980046,0,0,0,0,0,0,1.004341147,0,2.808309749,0
ENST00000678982.1,1.990528119,0,3.715215967,0,0.977980046,2.564664033,0,0,0.649810941,1.806861149,0,0,0,0.93610325,0
ENST00000678983.1,34.83424208,55.51436734,35.29455169,25.62268474,37.16324174,18.80753624,56.4373193,22.35207061,16.24527352,37.94408414,28.46911661,25.10852868,35.445174,22.46647799,17.15543073
ENST00000678984.1,8.957376534,7.930623906,18.57607984,9.918458609,8.801820412,6.839104087,3.847999043,3.048009629,7.797731289,6.625157548,7.320629986,5.021705736,4.43064675,5.616619498,4.901551639
ENST00000678985.1,15.92422495,13.21770651,18.57607984,8.265382175,6.845860321,4.274440054,3.847999043,13.20804172,9.747164111,8.432018697,8.94743665,10.04341147,22.15323375,11.233239,15.93004283
ENST00000678986.1,0,2.643541302,0,2.479614652,1.955960092,3.419552043,2.565332695,2.032006419,3.249054704,3.011435249,0.813403332,1.004341147,0,2.808309749,0
ENST00000678987.1,2.985792178,3.965311953,0,3.30615287,1.955960092,1.709776022,5.130665391,0,0,3.011435249,3.253613327,2.008682294,0,0.93610325,1.22538791
ENST00000678988.2,0,2.643541302,1.857607984,4.132691087,2.933940137,11.11354414,2.565332695,4.064012838,5.198487526,7.829731647,6.507226655,2.008682294,4.43064675,4.680516249,6.126939548
ENST00000678989.1,0.995264059,0,0,0,2.933940137,4.274440054,0,2.032006419,2.599243763,2.409148199,2.440209995,1.004341147,0,2.808309749,1.22538791
ENST00000678991.1,32.84371396,31.72249562,42.72498362,38.020758,36.1852617,23.08197629,29.501326,48.76815406,57.18336279,41.55780644,40.67016659,53.2300808,48.73711425,29.95530399,35.53624938
ENST00000678992.1,0,1.321770651,0,0.826538217,0.977980046,0.854888011,1.282666348,0,0.649810941,1.2045741,0,1.004341147,0,0,0
ENST00000678993.1,63.6968998,38.33134888,16.71847185,28.10229939,23.4715211,31.6308564,29.501326,49.78415727,37.68903456,36.73951004,28.46911661,28.12155212,26.5838805,48.67736899,47.79012848
ENST00000678995.1,0,0,0,0,0,0,2.565332695,0,2.599243763,1.2045741,0,2.008682294,0,1.872206499,0
ENST00000678997.1,0,5.287082604,3.715215967,0,0,4.274440054,8.978664434,3.048009629,1.949432822,3.011435249,4.067016659,4.017364589,0,1.872206499,0
ENST00000678998.1,4.976320297,7.930623906,7.430431934,7.438843957,3.911920183,11.96843215,5.130665391,17.27205456,15.59546258,6.625157548,6.507226655,8.034729178,17.722587,5.616619498,8.577715367
ENST00000678999.1,2.985792178,0,0,0,0,0.854888011,2.565332695,0,1.299621881,0,0,0,0,1.872206499,0
ENST00000679000.1,0.995264059,5.287082604,3.715215967,7.438843957,0,0,6.413331739,0,5.848298467,4.818296398,5.693823323,2.008682294,0,2.808309749,0
ENST00000679001.1,33.83897802,46.26197278,39.00976765,56.20459879,38.14122179,75.23014495,55.15465295,61.97619578,54.58411902,45.17152873,46.36398991,51.22139851,70.890348,60.84671123,55.14245593
ENST00000679005.1,1.990528119,1.321770651,1.857607984,1.653076435,1.955960092,1.709776022,0,1.01600321,1.299621881,0,0.813403332,0,0,0.93610325,2.450775819
ENST00000679006.1,4.976320297,1.321770651,11.1456479,7.438843957,6.845860321,7.693992098,12.82666348,14.22404493,12.34640787,10.23887985,10.57424331,16.06945836,13.29194025,17.78596174,7.352327458
ENST00000679008.1,5.971584356,3.965311953,3.715215967,2.479614652,2.933940137,5.984216076,2.565332695,2.032006419,3.249054704,3.613722299,7.320629986,5.021705736,0,6.552722748,11.02849119
ENST00000679014.1,0,0,0,3.30615287,0,0.854888011,0,0,0,1.2045741,2.440209995,0,0,0,1.22538791
ENST00000679020.1,1.990528119,0,1.857607984,1.653076435,2.933940137,0.854888011,1.282666348,3.048009629,2.599243763,1.806861149,3.253613327,6.026046883,4.43064675,1.872206499,2.450775819
ENST00000679021.1,31.8484499,37.00957823,31.57933572,44.63306374,23.4715211,51.29328065,44.89332217,27.43208666,27.29205951,31.92121364,33.3495366,33.14325786,17.722587,44.93295599,36.76163729
ENST00000679022.1,0,0,5.572823951,0,0,1.709776022,0,1.01600321,0,1.2045741,0.813403332,0,0,0,2.450775819
ENST00000679023.1,0.995264059,0,1.857607984,0,0.977980046,0,2.565332695,0,0,0.60228705,0,0,0,0,0
ENST00000679024.1,0,0,0,2.479614652,0,0,0,0,0,1.2045741,0.813403332,0,0,0,0
ENST00000679025.1,1.990528119,6.608853255,5.572823951,2.479614652,2.933940137,5.129328065,2.565332695,4.064012838,3.249054704,3.613722299,2.440209995,1.004341147,0,3.744412999,1.22538791
ENST00000679027.1,3.981056238,5.287082604,7.430431934,3.30615287,7.823840367,2.564664033,3.847999043,4.064012838,5.848298467,1.2045741,4.880419991,4.017364589,0,2.808309749,4.901551639
ENST00000679028.1,1.990528119,9.252394557,7.430431934,0.826538217,0,2.564664033,1.282666348,4.064012838,3.249054704,5.420583448,0.813403332,3.013023442,0,0.93610325,1.22538791
ENST00000679029.1,10.94790465,7.930623906,13.00325588,17.35730257,12.7137406,11.96843215,23.08799426,7.112022467,14.94565164,13.2503151,9.760839982,21.09116409,13.29194025,14.977652,24.50775819
ENST00000679030.1,2.985792178,6.608853255,3.715215967,2.479614652,3.911920183,5.129328065,3.847999043,4.064012838,5.848298467,6.022870498,3.253613327,4.017364589,0,1.872206499,4.901551639
ENST00000679031.1,153.2706651,208.8397628,172.7575425,102.490739,185.8162087,88.90835313,215.4879464,102.6163242,107.2188052,95.76364092,100.8620131,78.33860948,66.45970125,95.48253147,104.1579723
ENST00000679032.1,17.91475307,19.82655976,20.43368782,42.97998731,26.40546124,93.18279318,19.23999522,91.44028886,68.23014878,58.42184383,65.07226655,65.28217457,93.04358174,81.44098273,73.52327458
ENST00000679034.1,7.962112475,10.57416521,5.572823951,3.30615287,7.823840367,1.709776022,3.847999043,7.112022467,5.198487526,4.216009349,9.760839982,4.017364589,0,4.680516249,4.901551639
ENST00000679035.1,3.981056238,3.965311953,7.430431934,4.959229305,2.933940137,1.709776022,3.847999043,3.048009629,4.548676585,1.2045741,2.440209995,2.008682294,4.43064675,0,1.22538791
ENST00000679037.1,2.985792178,2.643541302,0,2.479614652,0.977980046,2.564664033,0,3.048009629,0,1.2045741,2.440209995,0,0,0.93610325,2.450775819
ENST00000679038.1,722.5617071,1637.673837,1983.925326,5093.955034,2301.187048,9025.907619,2022.76483,8063.001471,6460.420373,6257.16016,8046.999162,9542.24524,9286.635587,9867.464355,10281.00456
ENST00000679039.1,6.966848416,5.287082604,14.86086387,15.70422613,7.823840367,7.693992098,19.23999522,2.032006419,9.09735317,7.227444598,6.507226655,9.039070325,0,7.488825998,9.803103277
ENST00000679041.1,2.985792178,3.965311953,14.86086387,3.30615287,2.933940137,1.709776022,7.695998086,8.128025676,3.249054704,0,3.253613327,0,0,0,2.450775819
ENST00000679045.1,0,0,0,1.653076435,0,1.709776022,0,1.01600321,0.649810941,0.60228705,2.440209995,0,0,0,0
ENST00000679046.1,19.90528119,11.89593586,24.14890379,14.0511497,8.801820412,16.24287221,11.54399713,18.28805777,11.69659693,7.829731647,13.82785664,12.05209377,8.8612935,14.04154875,20.83159446
ENST00000679051.1,6.966848416,14.53947716,5.572823951,5.785767522,6.845860321,2.564664033,6.413331739,6.096019257,7.147920348,7.227444598,5.693823323,7.030388031,4.43064675,9.361032497,3.676163729
ENST00000679052.1,16.91948901,19.82655976,9.288039918,42.97998731,44.98708211,58.13238474,34.63199139,21.3360674,22.09357199,17.46632444,19.52167996,27.11721098,35.445174,31.82751049,12.2538791
ENST00000679053.2,0.995264059,1.321770651,5.572823951,3.30615287,4.889900229,1.709776022,1.282666348,3.048009629,5.198487526,3.011435249,2.440209995,3.013023442,0,7.488825998,1.22538791
ENST00000679055.1,11.94316871,7.930623906,9.288039918,6.61230574,8.801820412,8.548880109,3.847999043,7.112022467,3.898865644,2.409148199,2.440209995,6.026046883,8.8612935,1.872206499,4.901551639
ENST00000679056.1,0,1.321770651,0,0,0.977980046,0,0,1.01600321,0,0.60228705,0,2.008682294,0,0,0
ENST00000679062.1,0,0,0,1.653076435,0.977980046,0,0,0,0,0,0,1.004341147,4.43064675,0.93610325,0
ENST00000679064.1,0,1.321770651,0,0,0.977980046,3.419552043,1.282666348,1.01600321,0,0,0.813403332,0,0,0.93610325,0
ENST00000679069.1,1.990528119,0,0,0.826538217,0.977980046,0,1.282666348,0,1.299621881,0,0,3.013023442,0,0.93610325,1.22538791
ENST00000679071.1,2.985792178,3.965311953,1.857607984,2.479614652,2.933940137,0.854888011,6.413331739,3.048009629,5.848298467,6.022870498,2.440209995,3.013023442,4.43064675,4.680516249,2.450775819
ENST00000679072.1,4.976320297,1.321770651,9.288039918,19.010379,10.7577805,24.79175231,6.413331739,14.22404493,18.19470634,20.47775969,15.4546633,23.09984639,13.29194025,27.14699424,23.28237028
ENST00000679074.1,17.91475307,11.89593586,24.14890379,4.132691087,2.933940137,1.709776022,10.26133078,15.24004814,8.44754223,18.67089854,7.320629986,2.008682294,0,2.808309749,2.450775819
ENST00000679075.1,0,0,0,0,0,0,1.282666348,1.01600321,0.649810941,0,0,3.013023442,0,0.93610325,0
ENST00000679076.1,0,0,0,0,0.977980046,1.709776022,0,1.01600321,0.649810941,0,0,0,0,0,1.22538791
ENST00000679077.1,67.67795604,55.51436734,66.87388741,61.16382809,67.48062316,91.47301716,75.67731451,102.6163242,76.02788007,95.16135387,99.23520648,124.5383023,101.9048752,102.0352542,107.834136
ENST00000679078.1,20.90054525,29.07895432,11.1456479,16.53076435,16.62566078,17.09776022,21.80532791,17.27205456,20.7939501,11.44345395,6.507226655,17.0737995,4.43064675,19.65816824,13.47926701
