Ensayo de Compresion - Specimen_RawData_1
C10: 1.2462, C20: 0.0000, C30: 0.0000 (kPa)
Lambda Stress(kPa)
0.95173583 0.12176123
0.95160140 0.12595970
0.95146406 0.12519901
0.95137347 0.12509709
0.95123612 0.12626377
0.95109877 0.12773748
0.95100818 0.12717057
0.95087084 0.12482113
0.95077732 0.12873607
0.95063998 0.12738361
0.95054939 0.12800837
0.95041204 0.13128626
0.95027469 0.12797137
0.95014027 0.12835771
0.95004676 0.12883935
0.94991233 0.12876870
0.94977499 0.12872762
0.94963764 0.12984683
0.94950029 0.13072621
0.94940970 0.13247245
0.94927236 0.12996899
0.94913501 0.12985293
0.94899766 0.12895890
0.94890707 0.13144489
0.94876973 0.13269727
0.94863238 0.13101799
0.94849503 0.13262146
0.94835769 0.13364884
0.94822034 0.13344263
0.94808591 0.13590490
0.94794857 0.13491380
0.94781122 0.13626150
0.94771771 0.13455971
0.94758328 0.13421943
0.94748977 0.13548335
0.94735243 0.13491110
0.94721800 0.13440663
0.94712449 0.13701388
0.94698714 0.13632218
0.94685272 0.13591472
0.94675921 0.13722971
0.94662478 0.13713560
0.94648743 0.13682473
0.94639392 0.13652027
0.94625658 0.13904399
0.94616598 0.13853097
0.94602864 0.13917456
0.94593805 0.13867655
0.94580070 0.14241397
0.94571011 0.13894878
0.94557276 0.13918203
0.94543542 0.13958661
0.94534483 0.13952107
0.94520748 0.14093880
0.94511689 0.14163305
0.94502630 0.14025624
0.94488895 0.14028054
0.94479836 0.14146615
0.94466102 0.13959886
0.94456750 0.13832672
0.94443016 0.13961686
0.94429573 0.14304337
0.94415839 0.14436965
0.94406487 0.14245771
0.94393045 0.14356841
0.94379310 0.14313090
0.94365576 0.14338530
0.94356517 0.14436076
0.94342782 0.14423563
0.94329047 0.14524819
0.94315313 0.14579207
0.94306254 0.14544354
0.94292519 0.14577170
0.94278784 0.14751921
0.94269725 0.14919187
0.94255991 0.14655481
0.94242256 0.14687518
0.94233197 0.14702448
0.94219462 0.14874098
0.94210403 0.14981092
0.94196669 0.14766546
0.94182934 0.14926239
0.94173875 0.14966375
0.94160140 0.14958254
0.94150789 0.14937472
0.94137347 0.15029581
0.94123612 0.15031098
0.94114261 0.14918323
0.94100818 0.15076414
0.94087084 0.15189171
0.94073349 0.15281130
0.94059614 0.15204014
0.94045880 0.15318183
0.94036821 0.15197364
0.94023086 0.15402668
0.94009351 0.15464148
0.94000292 0.15188497
0.93986558 0.15427059
0.93972823 0.15404064
0.93963764 0.15327769
0.93950029 0.15433653
0.93936295 0.15541727
0.93922560 0.15629038
0.93913501 0.15657883
0.93899766 0.15680759
0.93886032 0.15870145
0.93872297 0.15879663
0.93858562 0.15910633
0.93849503 0.15848435
0.93835769 0.15989613
0.93822034 0.15821609
0.93812975 0.16022704
0.93799240 0.16115739
0.93790181 0.16027682
0.93776447 0.16094821
0.93762712 0.16168591
0.93749269 0.16161100
0.93739918 0.16216385
0.93726184 0.16433437
0.93717124 0.16133397
0.93703390 0.16252168
0.93694331 0.16292695
0.93680596 0.16361198
0.93666861 0.16327051
0.93657802 0.16490107
0.93644068 0.16571840
0.93635009 0.16666927
0.93625950 0.16541326
0.93616598 0.16577310
0.93607539 0.16715903
0.93593805 0.16679513
0.93580070 0.16863693
0.93566628 0.16737362
0.93552893 0.16862483
0.93543542 0.17081272
0.93529807 0.16767638
0.93516365 0.17046086
0.93502630 0.17028105
0.93493571 0.16910749
0.93479836 0.17217751
0.93466102 0.17229957
0.93452367 0.17129449
0.93443308 0.17015828
0.93429573 0.17181244
0.93420514 0.17155276
0.93406780 0.17369962
0.93397428 0.17312270
0.93383694 0.17361988
0.93370251 0.17420577
0.93356517 0.17751377
0.93342782 0.17640604
0.93329047 0.17654194
0.93315313 0.17753105
0.93301578 0.17779175
0.93287843 0.17893480
0.93278784 0.17896890
0.93265050 0.17977330
0.93251315 0.18106995
0.93237580 0.18096243
0.93224138 0.18311887
0.93214787 0.18253472
0.93201052 0.18072991
0.93187610 0.18204810
0.93178258 0.18372652
0.93164524 0.18399319
0.93151081 0.18468624
0.93137347 0.18496002
0.93128288 0.18588902
0.93114553 0.18818836
0.93100818 0.18529111
0.93091467 0.18783350
0.93078025 0.18963330
0.93064290 0.18788870
0.93050555 0.18954066
0.93041496 0.19074701
0.93027762 0.19006621
0.93014027 0.18926096
0.93000292 0.19108040
0.92991233 0.19218331
0.92977499 0.19122413
0.92968440 0.19173314
0.92954705 0.19177809
0.92945354 0.19145841
0.92936295 0.19149835
0.92927236 0.19309855
0.92913501 0.19382439
0.92904442 0.19389337
0.92895383 0.19422595
0.92881648 0.19565423
0.92872589 0.19603047
0.92858854 0.19385679
0.92845120 0.19677754
0.92835769 0.19729925
0.92822326 0.19860236
0.92812975 0.19872136
0.92799240 0.19736792
0.92790181 0.19843118
0.92776447 0.19939641
0.92762712 0.19993725
0.92749269 0.20094645
0.92735535 0.20108483
0.92721800 0.20083578
0.92712741 0.20409025
0.92699006 0.20153174
0.92685272 0.20307999
0.92676213 0.20303823
0.92662478 0.20541125
0.92648743 0.20339433
0.92639684 0.20584268
0.92625950 0.20619184
0.92616598 0.20577679
0.92603156 0.20867406
0.92589421 0.20532228
0.92575687 0.20688267
0.92561952 0.20828206
0.92552893 0.21118724
0.92539158 0.21180511
0.92525424 0.20848431
