"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005759","mitochondrial matrix","78/787","249/3933",0.313253012048193,1.56546899159535,4.61066341305318,8.16261698801764e-06,0.00014096211644692,0.000123265430628768,"MRPL51/RPS3/MRPL13/SOD1/PARK7/ATP5F1C/MRPS15/PRDX5/NDUFB8/NDUFAB1/MRPL20/MRPL27/ATP5PB/HSPE1/MRPS18C/FDPS/MRPL47/ARL2/MRPL22/NDUFS8/BLOC1S1/MRPL52/MRPL32/MRPL43/UQCC2/SLIRP/ETFB/MRPL18/MRPS11/DECR1/REXO2/NDUFS3/SDHB/GRPEL1/MRPL40/SSBP1/BOLA3/NAXE/MRPS16/MRPS6/MDH2/NFU1/GSTK1/NDUFS7/MRPL15/VDAC2/CMC1/SOD2/DNAJC19/MRPS7/MMAB/MRPL33/MRPL30/MRPL11/MRPL21/HAX1/MRPS33/SMDT1/MRPL55/MRPL53/NUDT2/MRPL24/ECH1/COASY/CLPP/TXNRD2/NRDC/SUCLG1/NDUFA9/CDK1/HSD17B10/PAM16/MRPL36/MTERF4/ACAT1/ATP5F1A/ATP5F1B/GCSH",78
"GO:0045259","proton-transporting ATP synthase complex","12/787","17/3933",0.705882352941177,3.52761790866283,5.22311159015859,8.7282324717232e-06,0.000145147273326064,0.000126925173955273,"ATP5PD/ATP5PO/ATP5F1C/ATP5MC1/ATP5MG/ATP5PB/ATP5ME/ATP5PF/ATP5MF/ATP5MJ/ATP5F1A/ATP5F1B",12
"GO:0098798","mitochondrial protein-containing complex","47/787","131/3933",0.358778625954198,1.79298136706209,4.61644149309566,1.24990917300853e-05,0.000200431863814581,0.00017526921862112,"MRPL51/MRPL13/MRPS15/NDUFAB1/MRPL20/MRPL27/TIMM13/MRPS18C/MRPL47/PHB1/MRPL22/MRPL52/MICOS10/TIMM9/MRPL32/MRPL43/TOMM22/MRPL18/MRPS11/GRPEL1/MRPL40/MRPS16/MRPS6/TOMM7/TIMM17B/MRPL15/TIMM17A/TIMM10/MPC2/DNAJC19/MRPS7/MRPL33/MRPL30/PHB2/MRPL11/MRPL21/MRPS33/SMDT1/MRPL55/MRPL53/MRPL24/MTX1/TOMM5/HSD17B10/PAM16/MRPL36/MTERF4",47
"GO:0032040","small-subunit processome","21/787","45/3933",0.466666666666667,2.33214739517154,4.4947979104055,4.5846145248855e-05,0.000709824800577099,0.000620711875783045,"RPS3A/RPS9/RPS4X/RPS5/RPS8/RPS6/SNU13/RPS11/RPS24/RPS7/RPS13/RPS16/NOP56/RPS14/RPS27A/RPS28/RPS17/RPS15A/RPS23/UTP11/RPS27",21
"GO:0016469","proton-transporting two-sector ATPase complex","17/787","33/3933",0.515151515151515,2.57444842324131,4.54221687431769,5.09034515174187e-05,0.000761854991044034,0.000666210084771831,"ATP6V0E1/ATP5PD/ATP5PO/ATP5F1C/RNASEK/ATP5MC1/ATP5MG/ATP5PB/ATP6V1G1/ATP5ME/ATP5PF/ATP5MF/ATP6V0B/ATP6V1F/ATP5MJ/ATP5F1A/ATP5F1B",17
"GO:0030684","preribosome","25/787","59/3933",0.423728813559322,2.11756724743178,4.32548315105106,6.64259048638671e-05,0.000962104234963753,0.000841319609990575,"RPS3A/RPS9/RPS4X/RPS5/RPS8/RPS6/SNU13/RPS11/RPS24/RPS7/RPS13/RPS16/NOP56/RPS14/RPS27A/RPS28/RPS17/RPS15A/RPS23/UTP11/WDR74/NSA2/RPS27/EBNA1BP2/NIP7",25
"GO:0140535","intracellular protein-containing complex","96/787","339/3933",0.283185840707965,1.4152095444783,3.99938213653047,7.59800129507582e-05,0.00106609455671533,0.000932254764165553,"RBX1/PSMB4/PSMA3/PSMB2/PSMB3/UBE2L3/PSMA7/RTRAF/PSMB6/PSMA2/ACTG1/COMMD1/SEM1/ENY2/PSMA6/MED31/PSMB7/PSMA4/PSMB5/GTF2A2/PSMD8/GTF2H5/NAA10/ELOC/LAMTOR4/CKS1B/PSME2/TRAPPC2L/HSPB1/UBE2C/CACYBP/LAMTOR5/PSME1/BLOC1S1/POLR1D/UBE2V1/EIF4E2/EIF4A1/LAMTOR2/ANAPC11/HSPA8/RNF7/UXT/RPP21/ANAPC15/POLR2G/PSMD9/EIF4G2/ACTB/ELOB/POLR2H/PSMA1/POLR2J3/PSMA5/PFDN2/PSMC5/TAF9/POLR2I/PSMD7/MORF4L2/ZBTB8OS/RNASEH2C/CIAO2B/NAA20/NAA38/SKP1/UBE2A/BLOC1S2/VCP/CIAO2A/ELP5/CCNH/LAMTOR1/DPM1/PSMG2/POLR2E/AIMP2/POLR2F/SDF2/TXNL1/POLR2K/SKIC8/BLOC1S6/CSNK2B/HSD17B10/ANAPC16/PSMD4/SNAPIN/PSMF1/POP5/TCP1/TRAPPC5/DCTN1/CCT5/PSMC6/UBE2V2",96
"GO:0000315","organellar large ribosomal subunit","21/787","49/3933",0.428571428571429,2.14176801597386,4.02208332968135,0.000209183860089525,0.00276245744647638,0.00241565262580164,"MRPL51/MRPL13/MRPL20/MRPL27/MRPL47/MRPL22/MRPL52/MRPL32/MRPL43/MRPL18/MRPL40/MRPL15/MRPL33/MRPL30/MRPL11/MRPL21/MRPL55/MRPL53/MRPL24/MRPL36/MTERF4",21
"GO:0005762","mitochondrial large ribosomal subunit","21/787","49/3933",0.428571428571429,2.14176801597386,4.02208332968135,0.000209183860089525,0.00276245744647638,0.00241565262580164,"MRPL51/MRPL13/MRPL20/MRPL27/MRPL47/MRPL22/MRPL52/MRPL32/MRPL43/MRPL18/MRPL40/MRPL15/MRPL33/MRPL30/MRPL11/MRPL21/MRPL55/MRPL53/MRPL24/MRPL36/MTERF4",21
"GO:0000313","organellar ribosome","28/787","75/3933",0.373333333333333,1.86571791613723,3.78565198740167,0.000341452676598094,0.00410530247900087,0.00358991401867852,"MRPL51/MRPL13/MRPS15/MRPL20/MRPL27/MRPS18C/MRPL47/MRPL22/MRPL52/MRPL32/MRPL43/MRPL18/MRPS11/MRPL40/MRPS16/MRPS6/MRPL15/MRPS7/MRPL33/MRPL30/MRPL11/MRPL21/MRPS33/MRPL55/MRPL53/MRPL24/MRPL36/MTERF4",28
"GO:0005761","mitochondrial ribosome","28/787","75/3933",0.373333333333333,1.86571791613723,3.78565198740167,0.000341452676598094,0.00410530247900087,0.00358991401867852,"MRPL51/MRPL13/MRPS15/MRPL20/MRPL27/MRPS18C/MRPL47/MRPL22/MRPL52/MRPL32/MRPL43/MRPL18/MRPS11/MRPL40/MRPS16/MRPS6/MRPL15/MRPS7/MRPL33/MRPL30/MRPL11/MRPL21/MRPS33/MRPL55/MRPL53/MRPL24/MRPL36/MTERF4",28
"GO:0005925","focal adhesion","69/787","237/3933",0.291139240506329,1.45495633152655,3.61320553406217,0.000347442080628136,0.00410530247900087,0.00358991401867852,"B2M/RPL6/RPS3A/RPS9/RPL7A/RPS3/RPLP0/RPL5/RPS4X/RPL30/PPIB/RPL7/CAV1/ARPC3/ACTG1/RPS5/RPS8/RPLP2/RPL8/RPL23/CD59/PFN1/RPS2/RPS18/CDC42/NPM1/RPL12/RPS11/RPS7/RPL18/RPLP1/RPS13/RPS16/CTTN/RPL3/YWHAB/RPL27/HSPB1/ARL2/YWHAE/RPL9/RALA/RPS14/RPL31/CD9/PPIA/HSPA8/RPS17/ANXA5/REXO2/RPL13A/RPS10/CALR/ACTB/RPL4/ARPC2/TPM4/RPS15/ARPC5/ANXA1/RPS29/RPL22/PCBP2/CFL1/CD151/ITGB1/BLOC1S6/P4HB/YWHAZ",69
