gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000173465	ENST00000533115.5	2.991559676	1	0.083699517	0.294737834	0.120224028	0.092378738	-0.380092518
ENSG00000167085	ENST00000614445.5	2.990253215	1	0.083767069	0.29486702	0.119272385	0.145208469	0.283865546
ENSG00000167792	ENST00000526770.5	2.990040332	1	0.083778082	0.29486702	0.158568826	0.10970086	-0.531534332
ENSG00000104408	ENST00000518100.6	2.987364906	1	0.083916621	0.295280825	0.066380219	0.08069388	0.281705868
ENSG00000100316	ENST00000402527.5	2.981105076	1	0.084241737	0.296350772	0.002400009	0.005302335	1.143588049
ENSG00000291814	ENST00000708853.1	2.977899562	1	0.084408748	0.296864134	0.246921182	0.203559598	-0.278599355
ENSG00000125037	ENST00000470827.3	2.974296135	1	0.084596918	0.297451636	0.176846072	0.218399971	0.30447849
ENSG00000182903	ENST00000505900.1	2.972317388	1	0.084700441	0.29774129	0.509379509	0.372209745	-0.452625096
ENSG00000115694	ENST00000535007.5	2.968305161	1	0.08491077	0.298406156	0.173087442	0.221263521	0.354264561
ENSG00000149932	ENST00000279396.11	2.965424767	1	0.085062115	0.298863448	0.217053124	0.273159715	0.331696546
ENSG00000142541	ENST00000486930.6	2.962430472	1	0.085219753	0.29934262	0.001387891	0.000115746	-3.583858809
ENSG00000150753	ENST00000515390.5	2.961097957	1	0.085290007	0.299365372	0.118303445	0.080975082	-0.546942145
ENSG00000166598	ENST00000680478.1	2.961714246	1	0.085257507	0.299365372	0.04381247	0.035639817	-0.297851637
ENSG00000197956	ENST00000496817.5	2.961259766	1	0.085281472	0.299365372	0.42738746	0.446214671	0.06219337
ENSG00000291420	ENST00000707473.1	2.960104274	1	0.085342437	0.299474756	0.019148114	0.023610382	0.302219096
ENSG00000213619	ENST00000525378.5	2.958242591	1	0.08544076	0.299745087	0.115939857	0.082414308	-0.492409881
ENSG00000116584	ENST00000477754.2	2.953792747	1	0.08567627	0.300421623	0.155555556	0.116382804	-0.418552006
ENSG00000167770	ENST00000428192.6	2.954092095	1	0.085660405	0.300421623	0.178562888	0.216919785	0.280729377
ENSG00000092841	ENST00000547649.5	2.951196204	1	0.085814018	0.300829725	0.138348033	0.148515343	0.10230985
ENSG00000105220	ENST00000643067.1	2.947697657	1	0.085999997	0.301406659	0.093543506	0.118464345	0.340743513
ENSG00000164733	ENST00000676755.1	2.945247581	1	0.0861305	0.301788927	0.01872243	0.011794227	-0.666686767
ENSG00000010278	ENST00000676638.1	2.944031275	1	0.086195366	0.301940488	0.051361741	0.043397219	-0.243091485
ENSG00000072506	ENST00000684692.1	2.943632607	1	0.086216638	0.301940488	0.227527059	0.297465714	0.386685259
ENSG00000170043	ENST00000303731.9	2.940668816	1	0.086374962	0.302269437	0.55682497	0.683032449	0.294730211
ENSG00000170043	ENST00000540486.5	2.940668816	1	0.086374962	0.302269437	0.44317503	0.316967551	-0.483541444
ENSG00000198721	ENST00000464583.5	2.94084026	1	0.086365795	0.302269437	0.100876504	0.070436673	-0.518191513
ENSG00000182628	ENST00000578519.5	2.936812564	1	0.086581431	0.302916699	0.188323101	0.210712013	0.162062585
ENSG00000187109	ENST00000548044.5	2.930216244	1	0.086935847	0.304081123	0.030805186	0.045987098	0.578055896
ENSG00000160789	ENST00000676283.1	2.927895681	1	0.087060903	0.304442919	0.034989647	0.021860299	-0.678614962
