transcript_id,q_value
ENST00000539708.5,8.40E-18
ENST00000465096.5,9.04E-18
ENST00000261479.9,1.01E-17
ENST00000589739.3,1.08E-17
ENST00000343262.9,1.43E-17
ENST00000575519.1,1.50E-17
ENST00000320623.10,1.56E-17
ENST00000380394.9,1.58E-17
ENST00000454021.6,1.58E-17
ENST00000552321.2,1.62E-17
ENST00000534781.1,1.80E-17
ENST00000618612.5,1.86E-17
ENST00000543796.6,2.14E-17
ENST00000678047.1,2.49E-17
ENST00000296417.6,2.53E-17
ENST00000497856.6,2.53E-17
ENST00000514682.5,2.72E-17
ENST00000299166.9,2.79E-17
ENST00000373715.11,3.00E-17
ENST00000228438.3,3.14E-17
ENST00000538152.1,3.14E-17
ENST00000535434.5,3.46E-17
ENST00000651623.1,3.49E-17
ENST00000393467.1,3.97E-17
ENST00000305366.8,3.97E-17
ENST00000392369.6,4.06E-17
ENST00000225728.8,4.28E-17
ENST00000553809.5,4.81E-17
ENST00000527914.5,4.88E-17
ENST00000656829.1,5.50E-17
ENST00000420057.2,6.24E-17
ENST00000515060.1,6.32E-17
ENST00000512737.6,6.32E-17
ENST00000271638.3,7.69E-17
ENST00000478109.1,7.69E-17
ENST00000267884.11,8.55E-17
ENST00000578611.5,8.56E-17
ENST00000503064.5,8.97E-17
ENST00000548400.5,9.51E-17
ENST00000535847.1,9.63E-17
ENST00000219169.9,9.97E-17
ENST00000700613.1,1.01E-16
ENST00000695792.1,1.37E-16
ENST00000439640.5,1.39E-16
ENST00000259457.8,1.42E-16
ENST00000498485.5,1.42E-16
ENST00000044462.12,1.46E-16
ENST00000579618.1,1.82E-16
ENST00000648161.1,2.17E-16
ENST00000518118.1,2.17E-16
ENST00000695862.1,2.74E-16
ENST00000262584.7,2.74E-16
ENST00000558527.5,3.03E-16
ENST00000708932.1,3.06E-16
ENST00000679077.1,3.46E-16
ENST00000543703.1,3.74E-16
ENST00000526668.5,3.76E-16
ENST00000474740.1,3.89E-16
ENST00000564544.1,4.34E-16
ENST00000552316.1,4.36E-16
ENST00000223641.5,5.37E-16
ENST00000498603.5,5.37E-16
ENST00000304834.11,6.15E-16
ENST00000517756.5,6.25E-16
ENST00000586054.2,6.73E-16
ENST00000678376.1,6.83E-16
ENST00000529163.5,6.96E-16
ENST00000593892.5,7.11E-16
ENST00000552870.1,7.34E-16
ENST00000599898.5,7.34E-16
ENST00000369713.10,8.11E-16
ENST00000304511.7,8.44E-16
ENST00000706715.1,8.84E-16
ENST00000620720.3,1.04E-15
ENST00000625297.1,1.04E-15
ENST00000562133.5,1.04E-15
ENST00000336133.8,1.07E-15
ENST00000552946.1,1.07E-15
ENST00000460922.2,1.19E-15
ENST00000676549.1,1.19E-15
ENST00000247655.4,1.19E-15
ENST00000520627.1,1.22E-15
ENST00000631698.1,1.28E-15
ENST00000517679.5,1.37E-15
ENST00000616839.3,1.39E-15
ENST00000627525.1,1.39E-15
ENST00000569997.1,1.44E-15
ENST00000506765.1,1.50E-15
ENST00000534029.5,1.69E-15
ENST00000709898.1,1.70E-15
ENST00000323981.6,1.76E-15
ENST00000466525.1,1.78E-15
ENST00000351554.8,2.03E-15
ENST00000341423.10,2.30E-15
ENST00000322347.11,2.77E-15
ENST00000593149.5,3.19E-15
ENST00000676117.1,3.30E-15
ENST00000396467.5,3.40E-15
ENST00000454682.6,3.76E-15
ENST00000396064.7,3.97E-15
ENST00000526433.1,4.20E-15
ENST00000495394.2,4.50E-15
ENST00000592940.2,4.73E-15
ENST00000518218.5,4.74E-15
ENST00000631650.1,5.11E-15
ENST00000697729.1,6.04E-15
ENST00000377017.5,6.51E-15
ENST00000492695.1,6.89E-15
ENST00000211372.9,7.00E-15
ENST00000274065.9,7.04E-15
ENST00000521440.6,7.15E-15
ENST00000396060.7,1.00E-14
ENST00000541064.5,1.05E-14
ENST00000434122.2,1.07E-14
ENST00000695857.1,1.10E-14
ENST00000586316.5,1.13E-14
ENST00000602163.1,1.28E-14
ENST00000426712.1,1.32E-14
ENST00000296930.10,1.44E-14
ENST00000396651.8,1.48E-14
ENST00000458478.6,1.54E-14
ENST00000639136.2,1.55E-14
ENST00000536368.1,1.60E-14
ENST00000493287.5,1.61E-14
ENST00000302422.4,1.73E-14
ENST00000700297.1,1.85E-14
ENST00000527791.5,1.86E-14
ENST00000475947.7,1.86E-14
ENST00000677447.1,1.88E-14
ENST00000485756.1,1.92E-14
ENST00000428792.1,2.09E-14
ENST00000599561.1,2.09E-14
ENST00000564903.1,2.27E-14
ENST00000630540.2,2.98E-14
ENST00000475783.1,3.03E-14
ENST00000451270.7,3.03E-14
ENST00000457341.6,3.03E-14
ENST00000455959.7,3.03E-14
