gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000008952	ENST00000487736.5	0.829677386	1	0.362365833	1	0.143919298	0.12017316	-0.260145343
ENSG00000008988	ENST00000009589.8	0.001527675	1	0.968822235	1	0.165057484	0.16528012	0.001944652
ENSG00000008988	ENST00000519807.5	1.90E-05	1	0.996523741	1	0.000643252	0.000645387	0.004782038
ENSG00000008988	ENST00000520490.1	2.106562793	1	0.14666843	1	0.001926952	0.001076348	-0.840176548
ENSG00000008988	ENST00000520627.1	1.583428624	1	0.208267518	1	0.002790721	0.001876071	-0.572923385
ENSG00000008988	ENST00000521262.5	0.096574289	1	0.755980008	1	0.087090563	0.085929889	-0.019356375
ENSG00000008988	ENST00000524349.5	0.016625374	1	0.897405586	1	0.082034841	0.082506619	0.0082731
ENSG00000008988	ENST00000676461.1	0.009276525	1	0.923270623	1	0.165005794	0.165484122	0.004176119
ENSG00000008988	ENST00000676918.1	0.016669044	1	0.897271675	1	0.165081253	0.165722469	0.005592929
ENSG00000008988	ENST00000678039.1	0.0107059	1	0.917590497	1	0.16521717	0.165738982	0.004549336
ENSG00000008988	ENST00000678683.1	0.013633994	1	0.907046522	1	0.16515197	0.165739993	0.005127587
ENSG00000009307	ENST00000339438.10	0.060431884	1	0.805814628	1	0.044168961	0.045711783	0.049533187
ENSG00000009307	ENST00000358528.9	0.376779595	1	0.539331802	1	0.031081675	0.031645483	0.025935318
ENSG00000009307	ENST00000438362.7	0.163272668	1	0.686161151	1	0.025809049	0.026880813	0.058699792
ENSG00000009307	ENST00000610726.5	0.191807528	1	0.661416467	1	0.023853479	0.023704634	-0.009030592
ENSG00000009307	ENST00000684913.1	0.7784243	1	0.377623478	1	0.025866535	0.017911948	-0.530164528
ENSG00000009307	ENST00000685676.1	1.432336196	1	0.231383548	1	0.034699323	0.043161975	0.314853366
ENSG00000009307	ENST00000686025.1	0.28367093	1	0.594305192	1	0.025253753	0.030521158	0.273311892
ENSG00000009307	ENST00000686123.1	5.294167279	1	0.021396959	1	0.032241096	0.017884725	-0.850172863
ENSG00000009307	ENST00000686581.1	0.021625837	1	0.883086827	1	0.024468512	0.024581427	0.006642296
ENSG00000009307	ENST00000686667.1	0.696257934	1	0.404043947	1	0.036956175	0.029889843	-0.306160138
ENSG00000009307	ENST00000686781.1	1.360089906	1	0.243521901	1	0.028614791	0.035670527	0.317971476
ENSG00000009307	ENST00000687759.1	0.014454799	1	0.904302447	1	0.024561321	0.023667961	-0.05345276
ENSG00000009307	ENST00000688211.1	1.516584318	1	0.21813712	1	0.028778245	0.019607053	-0.553605883
ENSG00000009307	ENST00000688611.1	0.853574166	1	0.355543186	1	0.033440341	0.04035245	0.271066707
ENSG00000009307	ENST00000689217.1	2.232763442	1	0.135112004	1	0.032915866	0.026998519	-0.285902876
ENSG00000009307	ENST00000689510.1	1.337117059	1	0.247543021	1	0.029254238	0.039000546	0.414848704
ENSG00000009307	ENST00000689631.1	1.339597068	1	0.247105039	1	0.02791145	0.021132697	-0.401380225
ENSG00000009307	ENST00000689732.1	0.670743813	1	0.4127924	1	0.032860631	0.024805725	-0.40568703
ENSG00000009307	ENST00000689885.1	0.210640762	1	0.646265644	1	0.038814434	0.033329812	-0.219780067
ENSG00000009307	ENST00000690013.1	0.230876981	1	0.630874322	1	0.034055374	0.029756905	-0.194658008
ENSG00000009307	ENST00000690207.1	0.054617921	1	0.815214182	1	0.038931657	0.047616054	0.290504301
ENSG00000009307	ENST00000690420.1	0.841627299	1	0.358931777	1	0.032805395	0.039779588	0.278095222
ENSG00000009307	ENST00000691032.1	0.29253554	1	0.588600259	1	0.038781362	0.038126444	-0.024571477
ENSG00000009307	ENST00000691403.1	0.190971564	1	0.662109221	1	0.032243347	0.034564768	0.100300761
ENSG00000009307	ENST00000692044.1	2.09904684	1	0.147390995	1	0.028205288	0.04050693	0.522203066
ENSG00000009307	ENST00000692629.1	3.158885734	1	0.07551471	1	0.029296314	0.043047199	0.555200211
ENSG00000009307	ENST00000692672.1	1.580314307	1	0.208715426	1	0.027486191	0.01913559	-0.522448592
ENSG00000009307	ENST00000692719.1	2.807625017	1	0.093817174	1	0.036059772	0.026199728	-0.460838409
ENSG00000009307	ENST00000692950.1	0.857998602	1	0.354299375	1	0.037553547	0.028488005	-0.398594593
ENSG00000009307	ENST00000693311.1	3.048091645	1	0.080832071	1	0.029364708	0.04339635	0.563490395
ENSG00000009307	ENST00000693467.1	0.142799464	1	0.705513676	1	0.023901962	0.025320261	0.083163232
ENSG00000009307	ENST00000693644.1	0.030090382	1	0.862285313	1	0.029765207	0.027603099	-0.108796698
ENSG00000009335	ENST00000348165.10	0.021925757	1	0.882284774	1	0.513888889	0.5	-0.039528364
ENSG00000009335	ENST00000470408.5	0.021925757	1	0.882284774	1	0.486111111	0.5	0.040641984
ENSG00000009844	ENST00000367630.9	0.192587259	1	0.660771932	1	0.507222222	0.621428571	0.29297062
ENSG00000009844	ENST00000620996.4	0.192587259	1	0.660771932	1	0.492777778	0.378571429	-0.380371665
ENSG00000010219	ENST00000010132.6	0.01532032	1	0.901493203	1	0.282771322	0.282827757	0.000287901
ENSG00000010219	ENST00000540757.6	0.045573247	1	0.830953433	1	0.278651173	0.281057846	0.012406859
ENSG00000010219	ENST00000543431.6	0.060102331	1	0.806334275	1	0.261664262	0.271932035	0.055529225
ENSG00000010219	ENST00000545571.5	0.485566029	1	0.485911893	1	0.176913243	0.164182362	-0.107742893
ENSG00000010244	ENST00000321233.10	0.054532823	1	0.815355593	1	0.321840294	0.313073593	-0.039843136
ENSG00000010244	ENST00000394670.9	0.01834291	1	0.892267162	1	0.345736129	0.349393939	0.015183211
ENSG00000010244	ENST00000394673.6	0.008685824	1	0.925746446	1	0.332423576	0.337532468	0.022003577
ENSG00000010256	ENST00000203407.6	-0.001900445	1	1	1	0.179411918	0.190849426	0.089159115
ENSG00000010256	ENST00000412343.6	0.237132036	1	0.626285226	1	0.119208537	0.12006834	0.010368236
ENSG00000010256	ENST00000471189.6	0.001699504	1	0.967116492	1	0.166342848	0.168812202	0.021259351
ENSG00000010256	ENST00000714195.1	0.975484588	1	0.323316137	1	0.148363602	0.130061036	-0.189948381
ENSG00000010256	ENST00000714196.1	0.167794041	1	0.682079801	1	0.074289501	0.089995339	0.276691945
ENSG00000010256	ENST00000714197.1	0.053538047	1	0.817017347	1	0.118073615	0.112895488	-0.064698788
ENSG00000010256	ENST00000714198.1	0.026556459	1	0.870548727	1	0.074971483	0.062067065	-0.272514011
ENSG00000010256	ENST00000714199.1	0.309929608	1	0.577723384	1	0.069455972	0.066775842	-0.056772498
ENSG00000010256	ENST00000714200.1	1.26621407	1	0.260478121	1	0.049882523	0.058475262	0.229291987
ENSG00000010270	ENST00000009041.12	0.010117092	1	0.919880892	1	0.514895881	0.545887446	0.08432279
ENSG00000010270	ENST00000471550.1	0.010117092	1	0.919880892	1	0.485104119	0.454112554	-0.095244509
ENSG00000010278	ENST00000009180.10	-0.002279973	1	1	1	0.07881534	0.079950382	0.020628491
ENSG00000010278	ENST00000382515.7	0.118402668	1	0.730773424	1	0.042907971	0.045713494	0.091374409
ENSG00000010278	ENST00000382518.6	0.272370756	1	0.601745865	1	0.06578264	0.061252675	-0.102934039
ENSG00000010278	ENST00000382519.9	0.358929005	1	0.549101641	1	0.081114054	0.090546475	0.158706569
ENSG00000010278	ENST00000536586.7	0.028686061	1	0.865505934	1	0.048037495	0.049878628	0.054260851
ENSG00000010278	ENST00000538834.6	0.400378456	1	0.526893871	1	0.086591234	0.097441429	0.170314299
ENSG00000010278	ENST00000610354.5	0.180912534	1	0.670590193	1	0.087769177	0.094919049	0.112983266
ENSG00000010278	ENST00000642746.1	0.035365225	1	0.850832407	1	0.046236303	0.043864898	-0.075959144
ENSG00000010278	ENST00000645368.1	0.878814229	1	0.348526658	1	0.040713645	0.033890222	-0.264643307
ENSG00000010278	ENST00000646407.1	0.072071989	1	0.788343516	1	0.042727714	0.043512477	0.026257007
