Gene name	fold change	p-value
NDUFC2	1.61408291402008	9.26546283514943E-15
TOMM6	2.06789093538032	9.4802925206283E-15
RPL19	2.16940618434034	1.00364171526596E-14
BRK1	2.01692640590688	1.03858062753835E-14
CDC26	2.49328039807935	1.1882213524757E-14
RPL21	2.20180701373896	1.19674556567962E-14
PSMB3	1.5910556202638	1.22987403144506E-14
PHB1	1.68541457949729	1.2350354527063E-14
RPL24	2.0265028375115	1.41487996398332E-14
SMIM26	1.86736029238512	1.41487996398332E-14
CIAO2B	2.21861738734813	1.46394098029436E-14
ZSWIM7	2.74487593897752	1.82505893639134E-14
S100A4	4.4489911549782	1.97260092423354E-14
RPS18	1.87716272117776	2.17277085888394E-14
SOD1	1.6068986377402	2.45610208191791E-14
ORMDL2	1.60686092214213	2.69173416837199E-14
GABARAP	1.54687388103617	2.8714351807364E-14
EEF1E1	2.49717518117783	2.89613226704789E-14
MRPL36	1.95175790842435	2.92665784814994E-14
OCIAD2	2.10683718174806	3.00346404866627E-14
CEBPZOS	2.26292570652405	3.15555114847658E-14
CD59	1.19800059842	3.34922182411277E-14
MRPS14	2.50183240098567	4.11658557186583E-14
NDUFB6	1.79056723198085	4.12335357533781E-14
RPS18	1.86866561160296	4.25703191578726E-14
0	9.20730420710194	4.34120379072441E-14
BTF3L4	1.38551363713276	4.61673330697349E-14
ATP5MC1	1.65907274281052	5.15886488392556E-14
C19orf53	1.812596014338	5.5445113470786E-14
GAS5	2.31474695597721	6.39135522145334E-14
EDF1	1.77204150050716	6.39670617481664E-14
0	9.20150775450917	6.45502670614226E-14
PQBP1	1.84674269524582	6.72291095075083E-14
RPL26L1	1.62594343297181	7.11243338670078E-14
0	9.1900067926209	7.68436185611857E-14
DYNLL1	1.31390837663969	7.97460732109204E-14
PARK7	1.63956103833542	8.51429874448916E-14
RPS18	1.86565274798464	8.64517199236946E-14
UQCRB	1.40334967924834	8.65144860575616E-14
HINT1	2.08045642119862	9.25650130626545E-14
RPL13AP5	1.00092999023582	9.41225796254062E-14
