gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000181924	ENST00000355693.5	14.6400044	1	0.000130123	0.021067216	0.790990465	0.870216729	0.137714448
ENSG00000111328	ENST00000544890.1	14.59245244	1	0.000133448	0.02110954	0.063506518	0.037995417	-0.741079271
ENSG00000133112	ENST00000490277.1	14.56333208	1	0.000135526	0.02110954	0.025409336	0.019221349	-0.402649082
ENSG00000137818	ENST00000357790.5	14.55789253	1	0.000135918	0.02110954	0.022413905	0.019251372	-0.219432745
ENSG00000167468	ENST00000589115.6	14.54647106	1	0.000136745	0.02110954	0.052091445	0.076114082	0.547116931
ENSG00000071082	ENST00000409000.5	14.4970921	1	0.000140376	0.021421065	0.000591718	0.000205892	-1.523025899
ENSG00000196262	ENST00000678805.1	14.33175802	1	0.000153257	0.023120982	0.007623559	0.005900289	-0.369678957
ENSG00000177600	ENST00000527517.1	14.16510296	1	0.000167448	0.024977899	0.005158166	0.003163201	-0.705473083
ENSG00000184752	ENST00000547157.1	14.04822115	1	0.000178182	0.026283868	0.009123725	0.005328657	-0.775851021
ENSG00000133112	ENST00000616577.4	14.01788477	1	0.00018108	0.02641779	0.26908382	0.287643017	0.096223804
ENSG00000169567	ENST00000675135.1	13.94167329	1	0.000188571	0.026936846	0.005815553	0.004079559	-0.511503327
ENSG00000173465	ENST00000526433.1	13.94042935	1	0.000188696	0.026936846	0.037929574	0.014815942	-1.356172843
ENSG00000161970	ENST00000584441.5	13.86751621	1	0.00019616	0.027704439	0.003484642	0.002430425	-0.519801808
ENSG00000169908	ENST00000472441.1	13.73661034	1	0.000210315	0.029390925	0.246728216	0.189278687	-0.38241074
ENSG00000166794	ENST00000681658.1	13.58177122	1	0.000228393	0.031584797	0.024995599	0.018463977	-0.43696073
ENSG00000041357	ENST00000044462.12	13.50512075	1	0.000237913	0.032562242	0.263679957	0.324850373	0.30098745
ENSG00000122026	ENST00000485756.1	13.44424295	1	0.000245759	0.033292845	0.003217061	0.002281752	-0.495601346
ENSG00000008988	ENST00000520490.1	13.19002666	1	0.000281443	0.037741776	0.001090823	0.000644047	-0.760178978
ENSG00000133112	ENST00000529421.5	13.16221543	1	0.000285651	0.037923021	0.043323798	0.035642174	-0.28157438
ENSG00000092841	ENST00000548400.5	13.12307143	1	0.000291681	0.038340228	0.014607526	0.011930787	-0.29202267
ENSG00000100097	ENST00000215909.10	13.00762587	1	0.000310225	0.039985895	0.564023625	0.579280228	0.038505829
ENSG00000198830	ENST00000493418.1	13.01794603	1	0.00030852	0.039985895	0.02395781	0.0164852	-0.539324707
ENSG00000142937	ENST00000474582.1	12.94332507	1	0.000321064	0.040985084	0.010195249	0.007012079	-0.539982898
ENSG00000105974	ENST00000393467.1	12.87411944	1	0.000333157	0.042123793	0.173463243	0.144677858	-0.261785846
ENSG00000172270	ENST00000576984.3	12.78446311	1	0.00034951	0.043774486	0.042413351	0.017851727	-1.248454836
ENSG00000177600	ENST00000530398.1	12.71929997	1	0.000361901	0.044902808	0.013274059	0.010055956	-0.400559297
ENSG00000188846	ENST00000481798.1	12.69335667	1	0.000366957	0.045108523	0.014757445	0.011733151	-0.330852439
ENSG00000136521	ENST00000493716.1	12.65893301	1	0.000373775	0.045111301	0.044043924	0.016917089	-1.380461706
ENSG00000198498	ENST00000358572.10	12.67225631	1	0.000371121	0.045111301	0.490902088	0.685939211	0.482645427
ENSG00000198168	ENST00000354193.5	12.60333858	1	0.000385058	0.046054367	0.900551688	0.941239032	0.063752066
ENSG00000100804	ENST00000460922.2	12.52726483	1	0.000401056	0.046711269	0.109701893	0.066936557	-0.712722163
ENSG00000111639	ENST00000229238.5	12.55876278	1	0.000394353	0.046711269	0.638056818	0.67595632	0.083245124
ENSG00000119705	ENST00000553981.1	12.52703359	1	0.000401106	0.046711269	0.010079762	0.008371893	-0.267835695
ENSG00000089157	ENST00000552292.5	12.49845346	1	0.000407289	0.047018863	0.047487945	0.032817768	-0.533084196
ENSG00000137154	ENST00000498815.1	12.47082156	1	0.000413358	0.047308139	0.017618721	0.011701952	-0.590359942
ENSG00000142541	ENST00000621674.4	12.43422892	1	0.000421536	0.047831762	0.004951894	0.003437043	-0.526812677
ENSG00000092841	ENST00000549017.5	12.38728135	1	0.000432268	0.048536802	0.009699914	0.007515454	-0.368111698
ENSG00000113732	ENST00000519911.5	12.37525352	1	0.000435062	0.048536802	0.084785484	0.055015052	-0.623990884
ENSG00000183283	ENST00000549041.1	12.18281428	1	0.000482318	0.053360471	0.100123878	0.175636871	0.810809654
ENSG00000089157	ENST00000546989.5	12.14201017	1	0.000492986	0.053570202	0.069851739	0.052210993	-0.41994244
ENSG00000167088	ENST00000579618.1	12.1294435	1	0.000496319	0.053570202	0.060504511	0.042160053	-0.52116604
ENSG00000273686	ENST00000619603.1	12.14452962	1	0.000492321	0.053570202	0.13054123	0.099301851	-0.394613026
ENSG00000100097	ENST00000489315.5	12.08095436	1	0.000509395	0.053906497	0.042919936	0.037452997	-0.196566758
ENSG00000114942	ENST00000482103.1	12.05674703	1	0.000516053	0.053906497	0.024386076	0.015437876	-0.659583316
ENSG00000138085	ENST00000472515.1	12.0520132	1	0.000517365	0.053906497	0.123162927	0.057432168	-1.100637136
ENSG00000170323	ENST00000521734.1	12.06801572	1	0.000512943	0.053906497	0.0257023	0.009497766	-1.436237343
ENSG00000177600	ENST00000526222.5	12.04348451	1	0.000519737	0.053906497	0.011595055	0.008797146	-0.398402242
ENSG00000162910	ENST00000391867.8	12.02066392	1	0.00052614	0.054147511	0.120829184	0.17571203	0.540244012
ENSG00000083845	ENST00000598098.5	11.95008107	1	0.00054645	0.055805158	0.027459285	0.02172492	-0.337943163
ENSG00000166741	ENST00000541090.1	11.91157983	1	0.000557861	0.05653556	0.045040919	0.026690125	-0.754930224
ENSG00000008394	ENST00000540056.5	11.86574582	1	0.000571759	0.057072694	0.026622674	0.011905793	-1.160991837
ENSG00000168028	ENST00000478027.3	11.86935365	1	0.000570652	0.057072694	0.022239981	0.015464291	-0.524214833
ENSG00000114850	ENST00000498205.5	11.80613396	1	0.000590359	0.057971552	0.016073358	0.006927894	-1.214182638
ENSG00000132963	ENST00000697716.1	11.79511496	1	0.000593863	0.057971552	0.004331015	0.002530143	-0.775486486
ENSG00000142168	ENST00000389995.4	11.80605046	1	0.000590385	0.057971552	0.048078397	0.035517355	-0.436864644
ENSG00000089009	ENST00000553205.1	11.74499066	1	0.000610072	0.058268473	0.063895419	0.046354944	-0.462989264
ENSG00000105404	ENST00000222008.11	11.74670273	1	0.000609511	0.058268473	0.634798843	0.469217798	-0.436041761
ENSG00000167113	ENST00000300452.8	11.76409042	1	0.000603844	0.058268473	0.16995269	0.306645426	0.851438234
ENSG00000101182	ENST00000442551.5	11.68801555	1	0.00062904	0.05965092	0.129894818	0.098159494	-0.404144158
ENSG00000137210	ENST00000486421.1	11.6605041	1	0.00063841	0.060110187	0.05274398	0.030849298	-0.773768793
ENSG00000125691	ENST00000584583.2	11.6429546	1	0.000644462	0.060252619	0.005928682	0.004160078	-0.511100781
ENSG00000103769	ENST00000261890.7	11.61502602	1	0.000654211	0.060736421	0.661494773	0.738068759	0.158025468
ENSG00000086061	ENST00000330899.5	11.58637099	1	0.000664369	0.060828742	0.925571661	0.955949859	0.046590256
ENSG00000086061	ENST00000495015.5	11.58637099	1	0.000664369	0.060828742	0.074428339	0.044050141	-0.756705401
ENSG00000100902	ENST00000556221.1	11.51887882	1	0.000688929	0.062219219	0.021710168	0.008404093	-1.369206844
ENSG00000165629	ENST00000356708.12	11.52764506	1	0.000685688	0.062219219	0.471162046	0.538876112	0.193730306
ENSG00000205544	ENST00000302422.4	11.49891705	1	0.000696368	0.062466047	0.922634329	0.946588495	0.036978415
ENSG00000114850	ENST00000478842.5	11.45980589	1	0.000711177	0.062985904	0.015931393	0.006927894	-1.20138371
ENSG00000138326	ENST00000645698.1	11.433955	1	0.00072114	0.062985904	0.038582897	0.035723784	-0.111076566
ENSG00000142541	ENST00000474171.1	11.44086548	1	0.000718463	0.062985904	0.003439392	0.002205831	-0.640831364
ENSG00000283771	ENST00000639136.2	11.45140596	1	0.000714399	0.062985904	0.922611622	0.94657654	0.0369957
ENSG00000089157	ENST00000313104.9	11.37788154	1	0.000743238	0.064491715	0.058029864	0.042550107	-0.447632776
ENSG00000162910	ENST00000366744.5	11.35311915	1	0.000753214	0.064932883	0.073244223	0.035327318	-1.051930761
ENSG00000178980	ENST00000598956.5	11.26911264	1	0.000788074	0.067499801	0.031899451	0.020828655	-0.614961951
ENSG00000101182	ENST00000370873.9	11.19124649	1	0.000821841	0.069449823	0.799836602	0.840732764	0.071941995
ENSG00000181019	ENST00000320623.10	11.18068056	1	0.000826534	0.069449823	0.446507737	0.516269759	0.209439919
ENSG00000181163	ENST00000518587.2	11.18812759	1	0.000823224	0.069449823	0.062244057	0.078398299	0.332886246
ENSG00000226492	ENST00000480120.5	11.14983418	1	0.000840392	0.070170077	0.051424812	0.030038115	-0.775670314
ENSG00000147403	ENST00000482732.1	11.00233078	1	0.000909974	0.075112968	0.002090944	0.001279733	-0.708311664
ENSG00000149273	ENST00000278572.10	10.99088622	1	0.00091561	0.075112968	0.326062613	0.346417827	0.087364145
ENSG00000241837	ENST00000417181.5	10.98895697	1	0.000916564	0.075112968	0.016790177	0.009893515	-0.763062298
ENSG00000196531	ENST00000678376.1	10.90653099	1	0.000958258	0.078048063	0.007026623	0.004703477	-0.57910369
ENSG00000179029	ENST00000533070.5	10.89179724	1	0.000965911	0.078191641	0.005046537	0.012258914	1.280465481
ENSG00000132341	ENST00000541630.5	10.87455274	1	0.000974946	0.078444722	0.06466863	0.044473989	-0.540104238
ENSG00000181163	ENST00000351986.10	10.8577275	1	0.000983844	0.078683774	0.028618074	0.01886474	-0.601234343
ENSG00000166710	ENST00000561139.2	10.8175673	1	0.001005415	0.07992749	0.056789362	0.040665853	-0.481802848
ENSG00000084207	ENST00000467591.1	10.7525699	1	0.001041346	0.082291139	0.037588198	0.02805008	-0.42227486
ENSG00000132341	ENST00000543796.6	10.71291154	1	0.001063905	0.083576331	0.300482925	0.341356216	0.183995009
ENSG00000142541	ENST00000677048.1	10.67363755	1	0.001086732	0.084867377	0.004073447	0.00276183	-0.560625783
ENSG00000205542	ENST00000380635.5	10.63220283	1	0.001111353	0.086282552	0.062747641	0.055334176	-0.181390415
ENSG00000142541	ENST00000476300.1	10.56734114	1	0.001151032	0.087366341	0.003281098	0.002093064	-0.648561989
ENSG00000156482	ENST00000396070.6	10.57080082	1	0.001148879	0.087366341	0.052973157	0.044617689	-0.247645696
ENSG00000161016	ENST00000531975.5	10.59741795	1	0.001132457	0.087366341	0.041467436	0.033530697	-0.306496379
ENSG00000205542	ENST00000380633.1	10.56637202	1	0.001151635	0.087366341	0.062686265	0.05530597	-0.180714161
ENSG00000008988	ENST00000520627.1	10.43317656	1	0.001237717	0.093363231	0.001750793	0.001213969	-0.528276258
ENSG00000167113	ENST00000461102.1	10.40834076	1	0.001254474	0.094092644	0.0937557	0.149304399	0.671278361
ENSG00000179029	ENST00000532998.5	10.39585582	1	0.001262984	0.094198776	0.005873676	0.013285987	1.177569766
ENSG00000136810	ENST00000374517.6	10.35631788	1	0.001290323	0.095644677	0.961692135	0.970551742	0.013230008
ENSG00000244687	ENST00000415862.6	10.34710462	1	0.001296779	0.095644677	0.034900684	0.021841337	-0.676194109
ENSG00000111640	ENST00000229239.10	10.33598249	1	0.001304617	0.095691106	0.226508058	0.254457023	0.16785964
ENSG00000138326	ENST00000613865.5	10.30435143	1	0.001327169	0.096281389	0.127746006	0.132667991	0.054542144
ENSG00000142541	ENST00000678713.1	10.31131836	1	0.001322168	0.096281389	0.004586758	0.003214131	-0.513046067
ENSG00000182899	ENST00000485439.5	10.26497041	1	0.001355799	0.097823854	0.012831599	0.010271256	-0.321088449
ENSG00000196465	ENST00000550550.5	10.25426615	1	0.001363689	0.097861249	0.079094189	0.053587604	-0.561672402
