transcript_id,q_value
ENST00000631616.1,0.215128526
ENST00000677907.1,0.215128526
ENST00000396024.7,0.215128526
ENST00000620047.5,0.215128526
ENST00000677581.1,0.215273858
ENST00000676477.1,0.222361854
ENST00000469334.6,0.222815094
ENST00000369722.8,0.223887616
ENST00000379251.7,0.223887616
ENST00000507022.1,0.226646485
ENST00000228306.8,0.22810254
ENST00000553677.1,0.22810254
ENST00000514764.5,0.22810254
ENST00000479815.5,0.22810254
ENST00000476288.5,0.231570906
ENST00000598273.5,0.231570906
ENST00000551217.1,0.232962049
ENST00000464218.5,0.232962049
ENST00000503040.5,0.232962049
ENST00000431254.5,0.234567785
ENST00000432588.6,0.234952946
ENST00000392509.6,0.234952946
ENST00000680920.1,0.234952946
ENST00000515818.5,0.234952946
ENST00000525981.1,0.234952946
ENST00000561068.5,0.234952946
ENST00000534386.2,0.235439083
ENST00000379542.10,0.237964005
ENST00000631739.1,0.237964005
ENST00000290541.7,0.238619536
ENST00000478522.1,0.240090038
ENST00000563744.1,0.240217584
ENST00000543703.1,0.24077534
ENST00000443647.5,0.24077534
ENST00000558131.1,0.241692669
ENST00000295008.8,0.242135216
ENST00000560274.1,0.246018728
ENST00000233114.13,0.246271906
ENST00000679029.1,0.252381379
ENST00000596314.5,0.257250122
ENST00000432899.5,0.257250122
ENST00000676117.1,0.257250122
ENST00000615013.4,0.257250122
ENST00000343255.9,0.258780685
ENST00000475346.1,0.262052173
ENST00000539479.6,0.262158915
ENST00000481094.1,0.263302517
ENST00000489200.5,0.265606319
ENST00000680416.1,0.26576546
ENST00000530199.5,0.277351542
ENST00000470985.3,0.280788601
ENST00000571986.5,0.280788601
ENST00000527806.1,0.281508593
ENST00000695798.1,0.282363431
ENST00000367378.6,0.282363431
ENST00000510363.1,0.282363431
ENST00000567958.5,0.283004688
ENST00000490965.1,0.286886204
ENST00000494593.1,0.286886204
ENST00000428193.6,0.286886204
ENST00000466525.1,0.286886204
ENST00000561491.1,0.286886204
ENST00000506987.1,0.286886204
ENST00000475783.1,0.286886204
ENST00000526668.5,0.286886204
ENST00000366747.7,0.286886204
ENST00000679095.1,0.286886204
ENST00000409973.5,0.286886204
ENST00000558558.6,0.286886204
ENST00000678774.1,0.288499903
ENST00000238609.4,0.28923872
ENST00000494380.5,0.289452895
ENST00000463901.1,0.289452895
ENST00000599561.1,0.289510249
ENST00000672405.1,0.289510249
ENST00000548160.5,0.290102189
ENST00000242465.4,0.290682688
ENST00000462445.1,0.290682688
ENST00000378586.5,0.290682688
ENST00000697728.1,0.290682688
ENST00000582736.1,0.290682688
