"","HUVEC02","HUVEC03","HUVEC04","HUVEC09","HUVEC10","HUVEC11","HUVEC12","HUAEC13","HUAEC14","HUAEC15","HUAEC16","HUAEC17","HUAEC18","HUAEC19","HUAEC20"
"ENSG00000183971",0,0,5.60213830899176,0.831099176611858,0,1.69573836257033,0,1.98673241478251,1.27851257569633,2.3976323339951,0.808114435545786,0.995442797303604,0,1.86701093313786,2.41604264471444
"ENSG00000183978",38.4671660972156,81.5891653100064,82.1646951985459,220.241281802142,119.907332800411,328.125373157358,88.3428704805575,273.175707032595,216.707881580528,231.970928314026,304.659142200761,372.295606191548,393.929606787551,341.663000764228,356.36629009538
"ENSG00000184005",4.04917537865427,4.01258190049212,3.73475887266118,5.81769423628301,5.99536664002057,5.08721508771098,5.1966394400328,2.98009862217376,0.639256287848166,1.79822425049633,3.23245774218314,0,5.11596891931884,0.933505466568929,6.0401066117861
"ENSG00000184007",170.065365903479,155.153166819029,211.013876305356,153.753347673194,222.827793454098,126.332508011489,167.591621941058,90.396324872604,105.477287494947,107.89345502978,101.822418878769,104.521493716878,97.203409467058,142.826336385046,120.802132235722
"ENSG00000184009",4607.96158090856,3917.61746218047,4343.52456890495,3826.380609121,3760.09411106623,3458.45839046218,3875.39386240446,3628.76675560025,3740.28854019962,3832.61528589117,3571.86580511237,3824.49122724045,4348.57358142102,4001.00442971443,4002.17464096947
"ENSG00000184014",14.1721138252899,37.4507644045931,70.9604185805623,17.453082708849,61.9521219468792,61.0465810525318,12.991598600082,30.7943524291288,42.190914997979,26.9733637574449,36.3651495995604,62.712896230127,0,22.4041311976543,1.20802132235722
"ENSG00000184047",40.4917537865427,41.4633463050852,46.6844859082647,62.3324382458894,30.9760609734396,93.265609941368,44.1714352402788,39.7346482956501,59.4508347698794,35.9644850099266,71.9221847635749,74.6582097977703,76.7395337897826,69.0794045261008,88.185556532077
"ENSG00000184056",18.2212892039442,1.33752730016404,0,0,0.999227773336762,0,0,23.8407889773901,0.639256287848166,0,6.46491548436629,7.96354237842883,0,0.933505466568929,0
"ENSG00000184058",6.0737630679814,1.33752730016404,1.86737943633059,3.32439670644743,9.99227773336762,8.47869181285163,12.991598600082,0,5.11405030278533,0,0,0,0,0.933505466568929,0
"ENSG00000184076",1352.42457647053,2697.79256443087,2636.73976409879,4984.93286131793,3685.15202806598,6731.23343022291,3311.5584831609,5949.27021606621,5646.55079056285,5389.2780787375,6735.63382027412,8390.58733847208,7679.06934789758,7736.89330692329,7483.69209200297
"ENSG00000184083",4.04917537865427,1.33752730016404,1.86737943633059,2.49329752983557,1.99845554667352,1.69573836257033,1.2991598600082,0.993366207391253,2.55702515139266,2.3976323339951,1.61622887109157,2.98632839191081,0,0.933505466568929,0
"ENSG00000184110",444.396997807306,363.807425644619,300.648089249225,291.715810990762,418.676437028103,268.774530467397,280.618529761771,193.706410441294,200.087218096476,210.39223730807,205.26106662863,228.951843379829,92.0874405477392,161.496445716425,202.947582156013
"ENSG00000184113",65.7990999031319,139.10283921706,91.5015923801988,123.833777315167,100.922005107013,130.571853917915,166.292462081049,217.547199418684,238.442595367366,204.997564556581,265.061534859018,329.491565907493,291.610228401174,292.187211036075,304.421373234019
"ENSG00000184117",5.06146922331784,18.7253822022965,16.8064149269753,11.635388472566,16.986872146725,6.78295345028131,16.8890781801066,11.920394488695,12.7851257569633,6.59348891848654,8.08114435545786,19.9088559460721,0,17.7366038648097,24.1604264471444
"ENSG00000184154",3.0368815339907,2.67505460032808,5.60213830899176,4.15549588305929,0,11.0222993567071,0,0,1.9177688635445,0,0.808114435545786,14.9316419595541,0,1.86701093313786,7.24812793414331
"ENSG00000184162",18.2212892039442,10.7002184013123,24.2759326722976,30.7506695346388,15.9876443733882,32.2190288888362,10.3932788800656,14.9004931108688,10.8673568934188,10.789345502978,12.9298309687326,4.97721398651802,25.5798445965942,8.40154919912036,19.3283411577155
"ENSG00000184164",80.9835075730854,20.0629095024606,46.6844859082647,59.0080415394419,54.9575275335219,39.0019823391175,20.7865577601312,46.6882117473889,63.2863724969684,70.1307457693568,45.254408390564,46.7858114732694,5.11596891931884,42.0077459956018,67.6491940520043
"ENSG00000184166",6.0737630679814,1.33752730016404,9.33689718165294,4.15549588305929,1.99845554667352,1.69573836257033,1.2991598600082,0,2.55702515139266,7.19289700198531,0.808114435545786,1.99088559460721,0,0,3.62406396707166
"ENSG00000184178",1.01229384466357,0,0,4.98659505967115,3.99691109334705,1.69573836257033,0,0,0,3.59644850099266,0,2.98632839191081,0,2.80051639970679,0
"ENSG00000184182",104.266266000347,50.8260374062335,31.74545041762,79.7855209547384,75.9413107735939,135.659069005626,97.4369895006149,131.124339375645,106.116543782796,149.252612791195,103.438647749861,89.5898517573243,168.826974337522,84.0154919912036,170.331006452368
"ENSG00000184203",2.02458768932713,6.6876365008202,5.60213830899176,3.32439670644743,7.99382218669409,0.847869181285163,15.5899183200984,6.95356345173877,7.67107545417799,4.19585658449143,1.61622887109157,2.98632839191081,0,5.60103279941358,7.24812793414331
"ENSG00000184205",4.04917537865427,10.7002184013123,3.73475887266118,7.47989258950672,0.999227773336762,3.39147672514065,0,0.993366207391253,0,0,4.84868661327471,0.995442797303604,0,0,0
"ENSG00000184206",6.0737630679814,0,0,1.66219835322372,0,0,1.2991598600082,2.98009862217376,0,0.599408083498776,3.23245774218314,0,0,0.933505466568929,2.41604264471444
"ENSG00000184207",59.7253368351505,50.8260374062335,39.2149681629423,35.7372645943099,45.964477573491,18.6531219882736,36.3764760802296,12.9137606960863,22.3739700746858,26.3739556739462,43.6381795194724,31.8541695137153,5.11596891931884,15.8695929316718,36.2406396707166
