gene_id	gene_name	logFC	logCPM	F	PValue	FDR
ENSG00000282019.1	GPI	1.0060475654444	0.908100255039214	2.07556030226803	0.15709432711191	0.364283690587335
MSTRG.10333		1.57338499566657	-1.14450454335384	2.07548396196082	0.157101776625287	0.364283690587335
MSTRG.18774	MSTRG.18774	1.14687305462192	-0.0352707031903908	2.07507906321412	0.157141294773465	0.364283690587335
MSTRG.18951	MSTRG.18951	0.4929439995252	3.49841359584628	2.07294817883169	0.157349461541417	0.364283690587335
MSTRG.24485	MSTRG.24485	-1.40525172643876	-0.299626929630577	2.07280793980396	0.157363172879834	0.364283690587335
MSTRG.15736		-1.50358819731419	-1.08624970929136	2.07255376871424	0.157388027066069	0.364283690587335
MSTRG.16436		-0.792946660988333	2.56917693435278	2.07200307191142	0.157441892899068	0.364283690587335
MSTRG.27140		-0.346906815159894	3.97747204133559	2.07110146917674	0.157530128937125	0.364283690587335
MSTRG.26691	MSTRG.26691	-0.428696616400841	3.27367516838791	2.07078298570242	0.157561311433176	0.364283690587335
MSTRG.11229	MSTRG.11229	-0.640317173592691	2.42822089192342	2.07020202302395	0.157618211745829	0.364283690587335
MSTRG.13278	MSTRG.13278	1.5840283600719	-0.816231505976681	2.07018767068816	0.157619617739241	0.364283690587335
ENSG00000137601.18	NEK1	-1.52740403218583	-0.0791952780140039	2.07010278805307	0.157627933371389	0.364283690587335
MSTRG.9060		-0.702085999442829	2.1122560250655	2.07002472298359	0.157635581566791	0.364283690587335
MSTRG.5719	MSTRG.5719	1.59233649167507	-1.1330780004568	2.06967528909228	0.157669821661802	0.364283690587335
MSTRG.25738	MSTRG.25738	0.332966420577294	5.15536736025714	2.06912214398243	0.157724040721552	0.364283690587335
MSTRG.10949		1.0702251640948	0.745242640401769	2.06859779087366	0.157775457805054	0.364283690587335
ENSG00000287439.1	ENSG00000287439	-1.27255722724874	-0.525948039462925	2.06827739431312	0.157806884974243	0.364283690587335
ENSG00000227642.9	AGPAT1	-1.01427698492013	0.459321019043271	2.06782826054775	0.157850952132618	0.364283690587335
MSTRG.25386		0.448088300388368	3.58005670615028	2.06765570017481	0.157867886887437	0.364283690587335
MSTRG.20950	MSTRG.20950	0.435152360155372	3.64182266030185	2.06762831861185	0.15787057425925	0.364283690587335
ENSG00000010818.11	HIVEP2	1.73517368447093	-0.857336557578844	2.06674013934412	0.15795777400979	0.364283690587335
MSTRG.6947		1.3567679521815	-0.275794123863394	2.06638678126301	0.157992481753489	0.364283690587335
MSTRG.21757	MSTRG.21757	1.01074230477572	1.03951670685683	2.06562845057955	0.158066997177902	0.364283690587335
MSTRG.12109	MSTRG.12109	1.05398109843962	0.759029775356094	2.06554458266678	0.158075240777134	0.364283690587335
MSTRG.2441	MSTRG.2441	0.325465173861615	4.51595624001286	2.06386394283849	0.15824054175892	0.364283690587335
MSTRG.8304	MSTRG.8304	-0.48332061087376	2.87053533668954	2.06271034132879	0.15835412282977	0.364283690587335
MSTRG.5301	MSTRG.5301	-0.622601202943982	2.45700519912656	2.06242645517196	0.158382088311543	0.364283690587335
MSTRG.12814		-0.462544990870477	3.38340562376799	2.06180619726949	0.158443209782421	0.364283690587335
ENSG00000206395.8	DDAH2	-0.492235991969829	2.5824982002223	2.06179344769406	0.158444466441897	0.364283690587335
MSTRG.2705	MSTRG.2705	-1.11265197618781	0.999391300771517	2.06165848402437	0.158457769828009	0.364283690587335
ENSG00000278718.3	GSDMD	0.425602686444819	3.47779674877889	2.0602785363234	0.158593866740986	0.364283690587335
ENSG00000250333.2	ENSG00000250333	-1.3598496671902	-0.378276592591786	2.05958824507389	0.158661998005128	0.364283690587335
MSTRG.24161		-1.44423451336454	-1.2223840344899	2.0585460963898	0.158764922483171	0.364283690587335
MSTRG.22196	MSTRG.22196	-0.652632846334645	1.99458820958743	2.05796759585555	0.15882209008127	0.364283690587335
MSTRG.16335	MSTRG.16335	-1.37778958749019	-0.645356820658216	2.05626467824506	0.158990513306132	0.364283690587335
MSTRG.6911		-1.00136425872099	0.483571042507861	2.05586505954132	0.159030067079098	0.364283690587335
ENSG00000282046.3	GREM1	-1.50959735068733	-1.13318779871548	2.05553772868482	0.159062474500883	0.364283690587335
MSTRG.10803	MSTRG.10803	0.364386916218086	6.70342852279268	2.0551894168222	0.159096967669088	0.364283690587335
ENSG00000290534.1	ENSG00000290534	-0.93160663427274	0.769945041524582	2.054789218052	0.159136610023027	0.364283690587335
ENSG00000166278.16	C2	-1.40731690575531	-0.787313387307965	2.05448444344686	0.159166807761452	0.364283690587335
MSTRG.23600		-1.07891530886158	0.310391198975915	2.05411860620258	0.159203064611134	0.364283690587335
MSTRG.15503		1.63453755306353	-1.13552747572266	2.05409763504549	0.159205143283186	0.364283690587335
MSTRG.17815	MSTRG.17815	0.95921476147504	1.0189619524306	2.05304937783269	0.159309087729526	0.364283690587335
MSTRG.11769	MSTRG.11769	-0.350589204655847	4.37410196118662	2.05217622977083	0.159395729347584	0.364283690587335
MSTRG.9987	MSTRG.9987	-0.427720627188093	3.38265451895418	2.05116211646924	0.159496428311439	0.364283690587335
ENSG00000038295.8	TLL1	1.49512735043022	-1.15784145768642	2.05099230235494	0.159513297742284	0.364283690587335
MSTRG.14137		0.342176450182249	5.17604669860998	2.05049398719865	0.159562812758392	0.364283690587335
MSTRG.25085	MSTRG.25085	-0.567301901001804	2.96650053881217	2.04897837136192	0.159713522762315	0.364283690587335
MSTRG.9764		-1.10009287797225	0.273432415211132	2.04895876663903	0.159715473314944	0.364283690587335
MSTRG.11655		-0.829521640399657	2.05577718206804	2.04845657773972	0.15976544765077	0.364283690587335
MSTRG.17686	MSTRG.17686	-0.557075210920543	2.54237931100555	2.04797547246037	0.15981334112901	0.364283690587335
