gene_id	feature_id	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.17892	ENST00000695532.1	0	0	2	0	0	0	0	0	4	0	0	0	0	2	0
MSTRG.17892	ENST00000695534.1	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0
MSTRG.17892	ENST00000695535.1	0	0	0	1	1	0	0	1	3	0	0	0	0	1	0
MSTRG.17892	ENST00000695536.1	0	0	0	0	0	3	0	0	3	0	0	0	0	2	2
MSTRG.17892	ENST00000695537.1	0	0	0	0	1	0	0	0	3	0	1	0	0	1	0
MSTRG.20778	ENST00000695547.1	4	4	2	4	5	5	2	0	0	8	2	2	0	7	4
MSTRG.20778	ENST00000695550.2	0	0	0	0	0	3	2	2	0	0	0	1	0	0	0
MSTRG.20778	ENST00000695551.1	0	0	0	0	0	1	0	3	0	2	0	0	0	0	0
MSTRG.20778	ENST00000695554.1	1	0	0	1	0	0	1	3	0	3	0	1	0	0	2
MSTRG.20778	ENST00000695556.1	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0
MSTRG.17892	ENST00000695558.1	0	0	3	0	2	3	0	1	5	5	3	3	0	3	0
MSTRG.17688	ENST00000695559.1	13	13	10	10	11	3	14	5	11	11	12	6	0	8	5
MSTRG.28282	ENST00000695560.1	1	2	0	3	5	11	3	13	18	9	9	8	2	3	5
MSTRG.28282	ENST00000695561.1	23	9	7	25	14	31	15	16	29	33	21	21	11	32	15
MSTRG.18250	ENST00000695564.1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
MSTRG.9747	ENST00000695566.1	8	6	3	9	9	4	0	8	7	5	6	4	0	4	2
MSTRG.9747	ENST00000695569.1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
MSTRG.7305	ENST00000695571.2	2	0	5	1	5	1	4	7	9	6	4	4	1	7	1
MSTRG.7305	ENST00000695572.2	2	0	5	0	5	1	4	7	10	6	4	4	0	7	2
MSTRG.7305	ENST00000695575.1	2	0	5	0	6	0	4	7	11	6	4	4	0	7	3
MSTRG.18853	ENST00000695592.1	1	2	2	2	0	3	4	0	0	1	0	2	0	4	4
MSTRG.813	ENST00000695598.1	23	11	9	16	16	18	14	13	33	22	12	24	4	20	15
MSTRG.813	ENST00000695599.1	15	9	7	8	10	7	8	3	24	14	5	10	3	10	9
MSTRG.813	ENST00000695600.1	11	6	1	22	22	29	11	27	39	34	25	34	6	27	26
MSTRG.813	ENST00000695601.1	5	2	1	7	5	9	1	3	14	9	6	6	0	8	12
MSTRG.813	ENST00000695602.1	13	11	4	63	29	103	9	79	87	101	87	90	20	100	79
MSTRG.813	ENST00000695603.1	3	7	6	50	28	83	13	69	73	89	72	70	16	86	68
MSTRG.813	ENST00000695604.1	4	4	5	49	29	72	11	54	59	71	57	51	15	70	54
MSTRG.25012	ENST00000695607.1	0	0	0	0	3	0	0	0	3	3	0	0	0	2	0
MSTRG.25012	ENST00000695608.1	38	29	22	56	46	59	34	45	58	49	39	36	7	40	38
MSTRG.12842	ENST00000695635.1	1	0	0	0	7	10	0	0	0	3	2	0	0	0	0
MSTRG.12842	ENST00000695636.1	1	0	0	0	6	12	0	0	0	5	2	0	0	0	0
