gene_id	gene_name	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.18853	MSTRG.18853	9	22	29	72	27	39	21	46	9	21	18	20	1	60	25
MSTRG.18854		0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
MSTRG.18855	MSTRG.18855	2	0	0	0	0	4	0	0	1	2	2	1	1	3	2
MSTRG.18856		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MSTRG.1886		2	0	0	0	1	0	1	0	0	0	0	0	0	0	0
MSTRG.18861		20	24	28	19	36	20	20	2	35	20	15	32	1	32	1
MSTRG.18862		2142	1964	1201	6399	3356	11407	1899	7046	9352	9481	8421	7376	2431	9419	8239
MSTRG.18864	MSTRG.18864	3	0	3	12	8	12	5	0	3	0	0	1	1	4	0
MSTRG.18865		12	2	18	34	10	0	22	1	0	2	0	0	0	0	1
MSTRG.18867		25	32	72	55	83	85	40	96	81	124	66	97	13	131	87
MSTRG.1887	MSTRG.1887	40	23	21	30	24	28	26	35	1	24	34	19	11	12	1
MSTRG.18870		34	25	22	110	56	154	18	135	164	159	117	110	50	143	104
MSTRG.18872		0	9	12	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.18873		2826	4273	2824	18923	6712	33029	4226	24416	30718	32849	31750	28515	6719	32969	26259
MSTRG.18874	MSTRG.18874	6	4	0	16	1	15	7	0	14	4	10	0	0	0	0
MSTRG.18875	MSTRG.18875	0	7	1	22	1	28	8	4	30	13	22	12	1	13	7
MSTRG.18877		45	23	19	55	44	28	10	15	37	20	8	12	3	6	13
MSTRG.1888	MSTRG.1888	94	121	33	234	117	244	79	218	233	312	253	275	27	266	213
MSTRG.18880	MSTRG.18880	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
MSTRG.18882	MSTRG.18882	264	222	164	366	302	204	359	144	292	263	143	297	48	293	172
MSTRG.18883		2	5	6	16	10	25	7	1	8	25	7	4	3	5	10
MSTRG.1889		0	0	0	3	0	1	0	0	3	0	0	1	0	4	0
MSTRG.18890	MSTRG.18890	23	31	21	29	37	48	25	32	26	46	57	14	0	29	55
MSTRG.18891		37	61	59	335	100	461	72	337	435	448	505	443	86	486	431
MSTRG.18892		0	0	0	0	0	1	0	1	1	1	0	0	1	0	2
MSTRG.18893		7	6	11	40	7	19	10	25	18	29	18	22	2	6	8
MSTRG.18894	MSTRG.18894	1	0	21	8	26	53	3	31	21	54	22	19	1	37	20
MSTRG.18895	MSTRG.18895	0	0	0	0	2	0	3	4	0	0	0	0	1	0	0
MSTRG.18896		6	6	6	1	6	9	9	1	18	1	1	9	0	6	6
MSTRG.18899	MSTRG.18899	231	253	179	1008	441	1142	344	780	1074	1106	1129	1155	163	1079	796
MSTRG.189	MSTRG.189	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
MSTRG.1890	MSTRG.1890	93	100	97	170	150	236	77	187	259	213	175	193	27	203	142
MSTRG.18902		3	0	2	3	0	2	3	1	4	1	1	2	0	3	2
MSTRG.18904		0	1	0	0	1	3	1	0	1	0	0	1	0	0	1
MSTRG.18905	MSTRG.18905	48	105	156	131	85	61	148	28	51	54	34	31	6	27	23
MSTRG.1891	MSTRG.1891	34	40	54	43	52	44	41	29	12	17	25	28	0	10	15
MSTRG.18910	MSTRG.18910	42	31	12	28	37	36	27	25	47	38	46	46	7	64	28
MSTRG.18913	MSTRG.18913	92	110	50	187	175	201	91	146	234	181	266	156	26	154	95
MSTRG.18914	MSTRG.18914	0	0	0	1	0	3	0	0	0	0	0	5	0	1	1
MSTRG.18917		30	0	10	43	30	19	18	30	1	12	7	10	1	21	24
MSTRG.18919		12	5	10	7	20	5	5	18	5	23	11	14	4	10	12
MSTRG.1892	MSTRG.1892	0	0	0	3	0	1	0	0	0	5	0	1	0	1	0
MSTRG.18920	MSTRG.18920	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
MSTRG.18921		3	0	1	2	2	1	0	6	0	13	6	4	1	3	8
MSTRG.18922		22	17	21	52	25	23	30	39	32	64	38	26	0	39	19
MSTRG.18924	MSTRG.18924	50	10	13	58	33	60	28	60	54	66	66	59	14	81	60
MSTRG.18926		24	20	13	34	28	12	17	0	0	17	17	30	0	8	8
MSTRG.18928		9	5	3	11	4	15	3	7	9	17	10	8	0	9	7
MSTRG.18929		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.1893	MSTRG.1893	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
MSTRG.18930		34	8	9	42	38	13	46	34	46	50	3	40	9	43	9
MSTRG.18931		1	5	0	8	6	0	6	5	8	13	3	0	1	8	6
MSTRG.18932		0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.18933	MSTRG.18933	0	0	0	0	0	0	0	1	3	0	0	7	1	1	2
MSTRG.18934		0	0	0	6	0	4	0	1	1	1	0	1	0	0	0
MSTRG.18936	MSTRG.18936	1	0	8	8	5	29	12	2	1	1	8	1	1	11	3
MSTRG.18937	MSTRG.18937	54	31	14	19	20	10	17	42	63	47	39	12	1	0	16
MSTRG.18939	MSTRG.18939	3	1	0	1	0	0	3	1	4	0	2	0	1	0	0
MSTRG.1894	MSTRG.1894	558	594	272	590	636	551	472	596	944	778	633	511	76	582	445
MSTRG.18940	MSTRG.18940	62	59	35	203	88	339	82	221	296	314	274	264	50	322	230
MSTRG.18941		11803	9806	6075	5028	5439	2910	8274	5416	9591	15528	8613	7313	1105	6275	2978
MSTRG.18942		38	44	35	122	68	113	51	107	111	148	145	133	21	122	106
MSTRG.18943	MSTRG.18943	139	84	93	165	206	306	160	245	350	383	269	208	59	326	211
MSTRG.18944	MSTRG.18944	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
MSTRG.18945		25	1	25	27	1	15	1	40	15	6	15	15	0	17	1
MSTRG.18946		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MSTRG.18947		0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
MSTRG.18948	MSTRG.18948	30	17	20	21	14	37	25	20	24	20	18	16	0	26	6
MSTRG.18949	MSTRG.18949	75	33	22	59	48	22	36	85	65	120	70	60	17	42	31
MSTRG.1895	MSTRG.1895	21	9	9	19	17	71	14	34	72	52	70	55	13	57	47
