gene_id	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.26930	5.12884733002893	6.57787089119462	6.02487506599977	2.67503375263176	5.52720212525946	2.27429996747751	4.37325238106772	1.93464933141495	2.48458826105504	2.20774919969092	1.58655094364084	2.60149619140958	1.92605490026888	1.40291216507226	2.28320163318935
MSTRG.26931	0	0.411116930699663	0	0	0	0	0	0.148819179339612	0	0	0.113325067402917	0	0	0	0
MSTRG.26933	23.9346208734683	9.86680633679192	12.5974660470904	10.0707153040255	14.8229511541049	13.7654998031534	8.74650476213544	11.1614384504709	10.5865065036258	7.82747443526779	10.7658814032771	8.15923805487549	19.2605490026888	10.0542038496845	9.28501997497002
MSTRG.26935	69.6668428995596	14.8002095051879	26.8380798394535	20.9282052411779	30.9020846094052	10.6532998476578	22.8754739932773	14.4354603959424	18.7964503227642	15.6549488705356	7.59277951599544	5.20299238281915	9.63027450134439	7.94983560207612	11.4160081659467
MSTRG.26936	2.56442366501447	3.70005237629697	6.02487506599977	1.88825911950477	2.76360106262973	1.55609997774777	4.70965641038062	1.04173425537728	0.648153459405663	1.00352236349587	0.906600539223336	0.591249134411267	0	0.467637388357419	0.608853768850493
MSTRG.26938	0	0	0.547715915090888	0	0	0	0	0	0	0.100352236349587	0	0	0	0.116909347089355	0
MSTRG.26939	9.83029071588878	6.16675396049495	0.547715915090888	8.65452096439688	9.7982219493236	5.38649992297305	6.05527252763223	3.86929866282991	2.70063941419026	2.3081014360405	5.21295310053418	0.709498961293521	0	4.9101925777529	3.95754949752821
MSTRG.2694	0	0	0	0	0	0	0	0	0	0.200704472699174	0	0	0	0.233818694178709	0
MSTRG.26940	0	0	0.547715915090888	0	0.251236460239067	0	0	0	0.216051153135221	0.401408945398348	0.226650134805834	0	0	0	0
MSTRG.26941	0	0	1.09543183018178	0	0	0	0	0.148819179339612	0.10802557656761	0	0.339975202208751	0	0	0	0
MSTRG.26942	0	0	0	0	0	0	0	0	0	0	0	0.591249134411267	0	0	0
MSTRG.26944	0	0	3.28629549054533	0	1.5074187614344	0	0	0	0	0	0	0	0	0	0
MSTRG.26945	27.78125637099	13.9779756437886	13.1451819621813	17.6237517820445	8.79327610836733	21.7853996884688	7.73729267419673	17.4118439827346	14.691478413195	13.0457907254463	13.712333155753	10.5242345925206	7.70421960107551	10.5218412380419	16.4390517589633
MSTRG.26947	23.9346208734683	21.3780803963825	16.4314774527266	6.9236167715175	12.3105865517143	5.62589991954963	11.4377369966386	4.01811784216952	4.75312536897486	7.12500878082068	5.43960323534001	3.3109951527031	4.49412810062738	3.74109910685935	4.26197638195345
MSTRG.2695	86.3355967221537	53.0340840602566	70.1076371316337	50.3535765201273	74.3659922307637	44.5283993632439	60.8891293056352	24.4063454116964	27.2224452950378	26.1919336872422	32.0709940750255	16.79147541728	46.2253176064531	32.61770783793	25.876285176146
MSTRG.26950	27.78125637099	3.70005237629697	26.8380798394535	2.20296897275557	5.77843858549853	3.23189995378383	9.75571685007414	4.76221373886758	11.9908389990048	6.02113418097522	9.17933045963627	7.92273840111098	0.642018300089626	7.71601690789741	0.152213442212623
MSTRG.26953	0	0	0	0.157354926625398	0	0.11969999828829	0.672808058625803	0	0	0	0	0	0	0	0
MSTRG.26955	1.70961577667631	2.05558465349832	0.547715915090888	0.944129559752386	2.00989168191253	0.23939999657658	0.672808058625803	1.04173425537728	0.324076729702831	0.802817890796696	0.453300269611668	0.472999307529014	0	0.467637388357419	1.21770753770099
MSTRG.26957	11.5399064925651	8.63345554469293	11.5020342169086	3.77651823900954	7.537093807172	2.87279995891896	5.04606043969352	4.01811784216952	4.32102306270442	4.51585063573142	3.62640215689334	1.65549757635155	0	1.05218412380419	3.04426884425247
MSTRG.2696	0	0	0	0	0.251236460239067	0	0	0	0	0	0	0	0	0	0
MSTRG.26961	0	0	0	0.314709853250795	0	0.23939999657658	0.336404029312901	0.74409589669806	0	0.401408945398348	0	0.236499653764507	0	0.116909347089355	0.304426884425247
MSTRG.26964	29.0634682034973	22.6114311884815	33.4106708205442	25.334143186689	15.8278969950612	26.9324996148653	26.2395142864063	32.7402194547146	34.4601589250677	27.0951038143885	33.8841951534722	32.0457030850907	46.2253176064531	32.61770783793	32.5736766335014
MSTRG.26965	0	0	0	0	0.251236460239067	0	0	0	0	0	0	0.591249134411267	0	0.116909347089355	0
MSTRG.26967	6.83846310670524	6.98898782189428	0	8.49716603777148	4.5222562843032	6.46379990756766	7.40088864488383	6.2504055322637	11.0186088098963	7.82747443526779	2.71980161767001	1.18249826882253	0	4.79328323066354	7.30624522620592
MSTRG.2697	8.97548282755063	11.1001571288909	3.28629549054533	0.157354926625398	0.251236460239067	1.31669998117119	2.69123223450321	4.46457538018836	0.864204612540884	1.10387459984546	1.359900808835	0	0.642018300089626	1.40291216507226	0.152213442212623
MSTRG.26970	2.56442366501447	9.86680633679192	4.3817273207271	5.19271257863812	2.51236460239067	8.01989988531543	0.336404029312901	11.3102576298105	9.07414843167928	6.2218386536744	8.49938005521877	7.33148926669971	10.272292801434	8.65129168461225	9.89387374382052
MSTRG.26971	62.8283797928544	82.2233861399327	75.0370803674517	33.2018895179589	61.8041692188104	43.2116993820727	108.658501468067	57.146564866411	55.3090952026166	59.2078194462564	48.7297789832543	39.0224428711436	44.9412810062738	31.5655237141258	37.4445067843053
MSTRG.26972	66.247611346207	54.2674348523556	26.2903639243626	25.6488530399398	30.6508481491661	22.9823996713517	28.9307465209095	20.6858659282061	33.0558264296888	35.1232827223555	16.8854350430346	21.2849688388056	38.5210980053775	14.8474870803481	16.4390517589633
MSTRG.26973	225.241878577104	195.28054208234	203.202604498719	98.3468291408736	172.348211724	65.1167990688298	186.367832239347	97.9230200054646	100.463786207878	103.764212385473	83.6338997433527	46.8269314453724	44.9412810062738	55.5319398674435	75.0412270108233
MSTRG.26974	8.12067493921247	11.1001571288909	8.76345464145421	8.18245618452068	0.251236460239067	4.66829993324331	0.336404029312901	4.16693702150913	6.37350901748902	3.01056709048761	7.25280431378669	0.591249134411267	6.42018300089626	1.63673085925097	6.84960489956805
MSTRG.26975	0	0	0	0	0	0.11969999828829	0	0.446457538018836	0	0	0.113325067402917	0.236499653764507	0.642018300089626	0.116909347089355	0
MSTRG.26976	0	0.822233861399327	0	0.629419706501591	1.5074187614344	0	1.34561611725161	0.595276717358448	0.216051153135221	0.200704472699174	0.226650134805834	0.118249826882253	0	0.233818694178709	0
MSTRG.26977	9.83029071588878	17.6780280200855	0	2.36032389938097	4.27101982406413	1.79549997432435	5.71886849831932	0	3.02471614389309	2.10739696334133	2.49315148286417	3.07449549893859	0.642018300089626	0.935274776714838	3.80533605531558
MSTRG.26979	61.5461679603472	69.4787612882431	55.8670233392706	32.8871796647081	47.7349274454226	19.1519997261264	35.9952311364805	17.8583015207534	30.5712381686338	26.1919336872422	18.5853110540784	12.8892311301656	14.1244026019718	19.5238609639222	29.5294077892489
MSTRG.2698	2.99182760918354	0	0.547715915090888	0.157354926625398	1.75865522167347	0.11969999828829	1.0092120879387	0	0.324076729702831	0.200704472699174	0.339975202208751	0.118249826882253	0	0	0.608853768850493
MSTRG.26980	18.3783695992703	0.411116930699663	6.57259098109066	15.7354926625398	15.5766605348221	10.0547998562164	0.336404029312901	4.46457538018836	6.91363690032707	8.42958785336531	9.74595579665086	4.37524359464338	0.642018300089626	3.15655237141258	0.45664032663787
MSTRG.26981	0.427403944169078	0.822233861399327	0	0	0	0.11969999828829	0	0	0.432102306270442	0.100352236349587	0.113325067402917	0.236499653764507	0.642018300089626	0.116909347089355	0
MSTRG.26982	20.5153893201157	0.411116930699663	13.6928978772722	6.6089069182667	12.5618230119533	2.87279995891896	6.05527252763223	6.99450142896176	5.1852276752453	2.40845367239009	0	2.60149619140958	0	0	0.152213442212623
MSTRG.26984	2.56442366501447	2.46670158419798	2.19086366036355	1.88825911950477	0	1.67579997603606	4.03684835175482	0.297638358679224	1.51235807194655	0.802817890796696	3.05977681987876	0.591249134411267	6.42018300089626	1.05218412380419	2.73984195982722
MSTRG.26985	1.70961577667631	5.34452009909563	0.547715915090888	3.46180838575875	2.51236460239067	3.35159995207212	1.34561611725161	0.892915076037672	4.21299748613681	1.80634025429257	5.55292830274293	1.7737474032338	0.642018300089626	2.5720056359658	2.28320163318935
MSTRG.26988	0	0	0	0	0	0.11969999828829	0.336404029312901	0	0	0	0.113325067402917	0	0	0	0
MSTRG.26989	0.427403944169078	2.46670158419798	4.3817273207271	1.88825911950477	1.00494584095627	2.3939999657658	2.69123223450321	0	0.432102306270442	0.100352236349587	0.453300269611668	0	0	0.935274776714838	0.608853768850493
MSTRG.2699	0	0	0	0	0	0	0	0	0	0.100352236349587	0	0.236499653764507	0	0	0
MSTRG.26990	0.427403944169078	0	0	0	0.251236460239067	0	0	0	0	0	0.339975202208751	0	0	0	0
MSTRG.26993	128.648587194892	118.401676041503	76.6802281127243	46.4197033544923	65.5727161223964	25.1369996405409	106.64007729219	19.1976741348099	23.9816779980095	26.1919336872422	20.9651374695396	19.1564719549251	16.6924758023303	16.7180366337777	20.5488146987041
MSTRG.26994	32.0552958126808	17.6780280200855	15.8837615376358	9.44129559752386	13.0642959324315	4.30919993837844	5.71886849831932	6.2504055322637	7.88586708943556	3.61268050858513	5.43960323534001	3.42924497958535	0.642018300089626	3.62418975977	4.5664032663787
MSTRG.26995	0	0.822233861399327	0.547715915090888	0.629419706501591	0.502472920478133	0.23939999657658	0	0	0.648153459405663	0.301056709048761	0	0	0	0	0
MSTRG.26996	0	0	0	0	0	0	0	0	0	0	0	0.236499653764507	0	0	0
MSTRG.26999	118.390892534834	65.3675919812465	102.422876121996	51.7697708597558	75.1197016114809	58.0544991698207	88.810663738606	72.3261211590514	72.9172641831371	67.9384640086704	73.3213186096873	49.1919279830174	41.0891712057361	49.9202912071545	54.3401988699065
MSTRG.270	0	0	0	0	0	0	0.336404029312901	0	0.10802557656761	0	0	0	0.642018300089626	0.116909347089355	0.152213442212623
MSTRG.2700	21.797601152623	14.8002095051879	18.6223411130902	7.0809716981429	16.0791334553003	7.30169989558569	11.4377369966386	8.7803315810371	5.61732998151574	9.63381468956036	4.53300269611668	4.25699376776112	7.70421960107551	3.85800845394871	5.93632424629231
