"Log2MeanExon"	"Log2FC"	"pvalue"	"padj"
"MSTRG.23256:ENST00000467107.1"	3.4618004698071	3.67250927967928	4.67385988303772e-22	1.05934408913721e-18
"MSTRG.2147:ENST00000367884.6"	8.60915088836201	-0.384161172510815	2.38674840706403e-21	5.25507444986196e-18
"MSTRG.4974:ENST00000450904.6"	6.99674575315113	0.747551730263328	6.76117578796178e-21	1.44730480158864e-17
"MSTRG.3532:MSTRG.3532.2"	4.50758319591157	-1.55861448660387	8.62077366224368e-21	1.79549745935087e-17
"MSTRG.19153:ENST00000486310.5"	5.83503032632172	1.36422852857093	6.37143538580515e-20	1.29209356237083e-16
"MSTRG.21067:ENST00000602483.6"	9.90417123097519	-0.153623764117487	1.28003830826908e-18	2.52929005414954e-15
"MSTRG.15905:ENST00000295220.10"	3.27191965239582	16.7518123853604	1.36384455077121e-18	2.62751471928828e-15
"MSTRG.23649:ENST00000660949.1"	3.86593163275421	2.49909556093527	1.6840080266166e-18	3.16519576944216e-15
"MSTRG.27856:ENST00000361567.2"	8.97910158505153	0.497944816334066	1.97560537778568e-18	3.62485956245048e-15
"MSTRG.21067:ENST00000685544.1"	9.89695732627865	-0.152489682447971	2.75839304887894e-18	4.94342523564439e-15
"MSTRG.18287:ENST00000464120.1"	5.18896992984135	-1.3433549243863	2.90292740551736e-18	5.08421344827225e-15
"MSTRG.96:ENST00000376642.8"	4.55587200489654	-1.3213768293929	4.35382254995081e-18	7.45587274098465e-15
"MSTRG.3381:ENST00000488388.2"	5.479766254302	-0.509036185783566	8.0653825744895e-18	1.35116198251154e-14
"ENSG00000224774.7:ENST00000451917.6"	5.6919734198667	2.4032158073243	1.02860837249772e-17	1.68652379577489e-14
"MSTRG.15590:ENST00000327428.10"	8.30112070299458	0.304534772188461	1.13581368165024e-17	1.8235015403194e-14
"MSTRG.21067:ENST00000665363.3"	7.71125698878706	0.684300720105464	1.56593844776111e-17	2.46274180941565e-14
"MSTRG.2084:ENST00000368026.11"	5.25817259680965	-1.22824682752411	1.73620626210687e-17	2.67591053940959e-14
"MSTRG.2084:MSTRG.2084.5"	4.88316410187135	-1.27443988647983	1.79014104774534e-17	2.70493822394807e-14
"ENSG00000224398.7:ENST00000476407.5"	1.91575816682382	-3.32379463551147	2.74362367341836e-17	4.06594476001858e-14
"MSTRG.15905:ENST00000413369.8"	3.28491267093252	6.07153460864501	3.95585761730127e-17	5.75181697555604e-14
"MSTRG.2084:ENST00000423014.3"	7.72795222229738	0.406065600190976	7.78116043889979e-17	1.11042923285647e-13
"MSTRG.13317:ENST00000490210.6"	4.25520734919129	2.1941186178285	8.78830716450472e-17	1.23135368492921e-13
"MSTRG.23649:ENST00000673721.1"	4.26229094166985	2.55559907784473	1.67247952476562e-16	2.30151102031229e-13
"ENSG00000241370.6:ENST00000433076.6"	5.55794251703796	-0.888329218268752	4.8060023616349e-16	6.49754656126857e-13
"MSTRG.2084:MSTRG.2084.6"	4.88932961061904	-1.22640871285948	7.60696523132254e-16	9.98002214196509e-13
"MSTRG.12801:MSTRG.12801.16"	3.70033028557803	-1.68997320942252	7.64087755801745e-16	9.98002214196509e-13
"MSTRG.2084:ENST00000368023.7"	7.74643179731147	0.388369192587796	7.93498175199111e-16	1.01914260628657e-12
"MSTRG.17181:MSTRG.17181.2"	3.70029228850518	2.1021946607648	1.45999863141391e-15	1.84443302514785e-12
"MSTRG.7399:MSTRG.7399.2"	5.20358593266123	1.31192059130166	1.49791637528977e-15	1.86181341471903e-12
"MSTRG.7934:ENST00000556465.5"	6.00726074319494	-0.742210106312701	1.64650938021595e-15	2.01402072790796e-12
"MSTRG.15215:MSTRG.15215.3"	4.13078777493768	-2.82421024191785	3.04455467397918e-15	3.66592925447162e-12
"MSTRG.28327:ENST00000654374.1"	3.08907403535263	2.72168440011205	4.72555959721908e-15	5.60247805662918e-12
"MSTRG.2084:MSTRG.2084.2"	4.79064053516362	-1.34421964900526	5.07353082175518e-15	5.923885336153e-12
"ENSG00000228875.8:ENST00000488020.1"	4.5639169156544	0.925169931316459	6.39546325615142e-15	7.35592820067971e-12
"MSTRG.23649:ENST00000623001.4"	10.1846197611773	-0.199712876124048	1.23070988622352e-14	1.3947200772376e-11
"MSTRG.21067:ENST00000693179.1"	6.37972818760565	1.16494810200321	2.44650516587209e-14	2.73235624771645e-11
"MSTRG.2084:MSTRG.2084.4"	4.7191158553479	-1.35328919910809	2.67104350453698e-14	2.94051363638041e-11
"MSTRG.20566:ENST00000504032.1"	4.21814852654115	-0.463493191798585	3.69732810245262e-14	4.0130070173409e-11
"ENSG00000196873.16:ENST00000616550.4"	1.85118311220466	-3.17307651168148	4.28384654093015e-14	4.58502475190498e-11
"ENSG00000206406.9:ENST00000383433.8"	5.75589618932848	2.42902103563394	5.43016948052802e-14	5.73232493847192e-11
"ENSG00000165949.13:ENST00000618863.1"	9.64995686302866	-0.342506503790029	6.27007859998866e-14	6.44246396096435e-11
"MSTRG.12046:ENST00000532729.6"	3.58377397227589	3.83833729257298	6.25221796740445e-14	6.44246396096435e-11
