GeneName	FoldChange	Pvalue
BST2	0.516508994952862	0.012512487588544
BTF3L4	0.585244588922293	0.012512487588544
DIPK2B	0.809829169459197	0.012512487588544
TROAP	0.5316693261864	0.0127949087103248
IFITM2	0.37998830426606	0.0129147637873604
RPA3	0.488908735923767	0.0129260568653586
RPL13A	0.351613634575466	0.0129260568653586
ATP5MF	0.314796822216483	0.0130118509145811
MRPL27	0.346117253494583	0.0131175737256386
COX16	0.394022583903668	0.0131175737256386
IFT122	-4.35368223246053	0.0131175737256386
RPS17	0.289811596583704	0.0131175737256386
LXN	0.856250471175728	0.0135636450561021
EDF1	0.300275413488301	0.0135636450561021
RPS7	0.350296896164012	0.0135636450561021
CSNK1D	-1.41319991947823	0.0138401025562204
RBM8A	0.507137396505016	0.0138401025562204
RNASE1	0.523559381807152	0.0140619397688406
RPS17	0.284029039045482	0.0140619397688406
COX7B	0.281844031162091	0.0141982719451613
TACC2	-3.73108507085207	0.0142769697492662
RPS9	-0.554710278217032	0.0142769697492662
TOM1	-2.61465080330616	0.0146791043953111
GSPT1	-1.45808186424021	0.0147711833876093
NDUFB3	0.352117515240955	0.0147711833876093
RPL17	0.339945698263866	0.0147711833876093
STX17	2.36366006244238	0.0147961610256846
P4HB	-0.392056678519696	0.0149253657160162
NDUFA6	0.33270030582751	0.0149955231734387
NOC2L	-1.33186780170887	0.0150438820873546
ATP5MC2	0.303935889476076	0.0153405318642605
PRPF4	-0.735691440671816	0.0153405318642605
NDUFA11	0.237700368558093	0.0153405318642605
PSMB9	1.53481237084187	0.0161835820404196
AKR1C3	-0.904325797403983	0.0163708429573257
LSM2	0.488052732837522	0.0164291502245893
PSMB1	0.369293865055727	0.0164878836134847
DDX5	-0.453770503921767	0.0164878836134847
NDUFV3	0.345418238380601	0.0164878836134847
LSM2	0.511586295132258	0.0164878836134847
PTBP2	-4.8021646185821	0.0165071591499113
KIAA1191	-1.32120571412244	0.0165990651397223
RPS15A	0.300628888062914	0.0165990651397223
RPS24	0.259691902445191	0.0171012051460917
C19orf53	0.34695335696988	0.0171592685517435
NDUFA11	0.235444158217613	0.0172278644919057
NCBP2	0.462758193535391	0.0174223973914428
MYL12A	0.436450863446437	0.0175487487680454
MICOS13	-1.59587629194766	0.0176230668871639
LSM2	0.503384996093257	0.0176230668871639
RPL15	0.388587070743364	0.017831720482305
SNHG9	0.268185036765184	0.017831720482305
PRSS2	4.07291187582176	0.0181251974758725
KLHL2	-2.80080268908852	0.0183328895731701
PLOD1	-0.720203468329361	0.0189403987236259
ZFYVE27	-6.39881726924111	0.0189403987236259
S100A11	0.273590810274719	0.0197252063050584
CYCS	0.339828508949145	0.0197252063050584
LSM2	0.469319670849297	0.0197252063050584
S100A13	0.220459847716629	0.0198458009925289
MRPL42	0.588407417852729	0.0198798015391757
DCK	-3.8467163151286	0.0200017956556298
POU2F1	-3.39591630137116	0.0201239687354657
SNHG3	0.485473448949517	0.0201239687354657
LINC02762	-1.74691399563732	0.0201239687354657
CASP4LP	0.923461159516713	0.0201239687354657
BTF3	0.465590925955928	0.0202577351446707
GTF2H5	0.304933087792696	0.0202577351446707
COX7C	0.270286931758131	0.0205362420895142
DDX21	-1.02104526644994	0.0205362420895142
RPSA	0.508223441212305	0.0209814769591337
NDUFA6	0.321213868273597	0.0214709084213538
RPL36AL	0.312411066470016	0.0220752370852514
ATP5PD	0.355181889822296	0.0222963213345196
ANAPC15	0.353262540080815	0.0224246960101459
PSMB9	1.59751265760369	0.0224246960101459
MTRR	-4.34571163284105	0.0230684380925759
RPL35A	0.280875110665077	0.0230684380925759
ATP5PO	0.362875496008323	0.0230684380925759
POLA2	4.08527729411324	0.0232040985890154
FABP4	0.570987495779454	0.0237653351941247
APLP2	-0.594483648178452	0.0239183240661658
HMGCR	-0.737323913174517	0.0239560406529702
LSM2	0.469463489611755	0.0243680358176162
P4HA2	-2.41895285228293	0.0253135802369289
