gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC	neg_log10_pval	neg_log10_fdr	significance	transcript_label
ENSG00000065518	ENST00000492739.1	7.64570176502457	1	0.00569077532609825	0.097212895332491	0.0239163770888078	0.00768117872130967	-1.63859924017252	2.24482856015901	1.01227612190211	Not significant	ENSG00000065518:ENST00000492739.1
ENSG00000065518	ENST00000496588.1	11.8879810017388	1	0.000564973300599236	0.0213341847756104	0.0426786074131623	0.0166314443788964	-1.35959963558809	3.24797207550163	1.67092394779967	Significant	ENSG00000065518:ENST00000496588.1
ENSG00000065809	ENST00000181796.7	0.00239727188113648	1	0.960949624477724	1	0.329365079365079	0.333333333333333	0.0172779914318354	0.0172993786007408	0	Not significant	ENSG00000065809:ENST00000181796.7
ENSG00000065809	ENST00000378470.5	0.00239727188113648	1	0.960949624477724	1	0.329365079365079	0.333333333333333	0.0172779914318354	0.0172993786007408	0	Not significant	ENSG00000065809:ENST00000378470.5
ENSG00000065809	ENST00000622567.4	0.00950152144605454	1	0.922348592803068	1	0.341269841269841	0.333333333333333	-0.0339473319233377	0.0351049104879816	0	Not significant	ENSG00000065809:ENST00000622567.4
ENSG00000065978	ENST00000321358.12	0.00828943668966531	1	0.927455767048975	1	0.502430980552156	0.504992667256467	0.00733701393267989	0.0327067939335454	0	Not significant	ENSG00000065978:ENST00000321358.12
ENSG00000065978	ENST00000436427.1	0.00828943668966531	1	0.927455767048975	1	0.497569019447844	0.495007332743533	-0.00744676397329931	0.0327067939335454	0	Not significant	ENSG00000065978:ENST00000436427.1
ENSG00000066056	ENST00000372476.8	0.00490306939514085	1	0.944176212168284	1	0.73737184296074	0.733690699544358	-0.007220329908888	0.0249469454999657	0	Not significant	ENSG00000066056:ENST00000372476.8
ENSG00000066056	ENST00000714825.1	0.00490306939514085	1	0.944176212168284	1	0.26262815703926	0.266309300455642	0.0200812138399513	0.0249469454999657	0	Not significant	ENSG00000066056:ENST00000714825.1
ENSG00000066117	ENST00000381513.8	0.00351378201037278	1	0.952731350697779	1	0.339339339339339	0.33695652173913	-0.0101662410140632	0.0210295435983724	0	Not significant	ENSG00000066117:ENST00000381513.8
ENSG00000066117	ENST00000394963.9	0.00325726235485035	1	0.954487497668757	1	0.339339339339339	0.344396997929607	0.021343876745787	0.0202297558287533	0	Not significant	ENSG00000066117:ENST00000394963.9
ENSG00000066117	ENST00000549526.1	4.51997436812235e-06	1	0.998303680243017	1	0.321321321321321	0.318646480331263	-0.0120599889345569	0.000737327858863426	0	Not significant	ENSG00000066117:ENST00000549526.1
ENSG00000066697	ENST00000395067.7	0.0111215221829752	1	0.916011897084809	1	0.333333333333333	0.338967803030303	0.024182650834064	0.0380988857156321	0	Not significant	ENSG00000066697:ENST00000395067.7
ENSG00000066697	ENST00000613183.1	0.00280356006010152	1	0.957772817701894	1	0.333333333333333	0.330516098484848	-0.0122450512119646	0.0187374927158274	0	Not significant	ENSG00000066697:ENST00000613183.1
ENSG00000066697	ENST00000622639.4	0.00280355696577317	1	0.957772840983496	1	0.333333333333333	0.330516098484848	-0.0122450512119646	0.0187374821589698	0	Not significant	ENSG00000066697:ENST00000622639.4
ENSG00000067057	ENST00000381072.5	0.0205607447496732	1	0.885982035224893	1	0.119449133116612	0.121017311116528	0.0188170512028253	0.052575084074345	0	Not significant	ENSG00000067057:ENST00000381072.5
ENSG00000067057	ENST00000381075.7	0.0603904698291444	1	0.805879848099613	1	0.128056319635464	0.132869998371518	0.053236933050607	0.0937297040970141	0	Not significant	ENSG00000067057:ENST00000381075.7
ENSG00000067057	ENST00000381125.9	0.108948470176983	1	0.7413444778562	1	0.137390250340363	0.128677615717628	-0.0945185199612517	0.129979943075283	0	Not significant	ENSG00000067057:ENST00000381125.9
ENSG00000067057	ENST00000415005.6	0.322362605884337	1	0.570191252831742	1	0.122937852518685	0.134129129142849	0.125693395419455	0.243979449383705	0	Not significant	ENSG00000067057:ENST00000415005.6
