transcript_id,q_value
ENST00000478578.1,0.016419121
ENST00000250498.9,0.016538822
ENST00000514764.5,0.016798778
ENST00000271638.3,0.016798778
ENST00000478109.1,0.016798778
ENST00000302386.10,0.017450577
ENST00000577035.5,0.017450577
ENST00000675134.1,0.017949772
ENST00000591716.6,0.017987856
ENST00000482103.1,0.017987856
ENST00000676117.1,0.017987856
ENST00000614132.4,0.017987856
ENST00000369722.8,0.018158513
ENST00000607484.6,0.019574406
ENST00000472321.1,0.019928635
ENST00000567300.1,0.019969632
ENST00000532359.5,0.020086032
ENST00000379270.5,0.020217138
ENST00000697716.1,0.020217138
ENST00000531282.1,0.020400349
ENST00000367088.1,0.020705062
ENST00000367089.8,0.020705062
ENST00000680343.1,0.020705062
ENST00000514455.5,0.020935878
ENST00000542222.1,0.021045648
ENST00000464112.5,0.021045648
ENST00000537918.1,0.021156178
ENST00000422167.6,0.021158779
ENST00000496588.1,0.021334185
ENST00000248566.4,0.021334185
ENST00000482389.1,0.021334185
ENST00000315731.4,0.021334185
ENST00000472441.1,0.021334185
ENST00000489200.5,0.021336665
ENST00000678034.1,0.022074589
ENST00000229239.10,0.022074589
ENST00000559273.1,0.022354278
ENST00000442995.4,0.022354278
ENST00000472966.1,0.022431933
ENST00000676940.1,0.022431933
ENST00000512623.1,0.022501597
ENST00000413995.1,0.023236549
ENST00000511175.1,0.023436699
ENST00000681658.1,0.023436699
ENST00000420057.2,0.025057639
ENST00000481898.6,0.025057639
ENST00000607564.1,0.025143892
ENST00000513013.5,0.025255358
ENST00000709236.1,0.025525676
ENST00000372635.1,0.025629878
ENST00000367208.1,0.025792409
ENST00000677543.1,0.025910858
ENST00000482732.1,0.025952697
ENST00000374846.3,0.026363402
ENST00000259457.8,0.02676321
ENST00000498485.5,0.02676321
ENST00000611932.4,0.02676321
ENST00000310837.8,0.02676321
ENST00000361564.9,0.02676321
ENST00000633481.1,0.02676321
ENST00000553809.5,0.02701867
ENST00000431254.5,0.02701867
ENST00000573262.1,0.02701867
ENST00000439255.1,0.027067827
ENST00000372634.1,0.028568058
ENST00000607357.2,0.028683075
ENST00000470481.2,0.028691297
ENST00000575519.1,0.029109257
ENST00000341423.10,0.029109257
ENST00000630342.1,0.029109257
ENST00000567312.5,0.029943726
ENST00000490191.5,0.030120086
ENST00000585199.2,0.030310948
ENST00000376836.8,0.030310948
ENST00000526433.1,0.030310948
ENST00000596272.5,0.030310948
ENST00000624362.2,0.030477161
ENST00000369713.10,0.030477161
ENST00000429064.1,0.030569533
ENST00000329970.8,0.030917624
ENST00000480191.1,0.030917624
ENST00000261479.9,0.030971377
ENST00000695857.1,0.031100457
ENST00000372209.3,0.031100457
ENST00000475634.5,0.031100457
ENST00000392217.3,0.031482832
ENST00000586316.5,0.031482832
ENST00000257857.9,0.031482832
ENST00000449935.6,0.031482832
ENST00000518669.5,0.031482832
ENST00000496582.5,0.031482832
ENST00000487106.5,0.032078611
ENST00000611971.4,0.032078611
ENST00000579618.1,0.032078611
ENST00000458500.5,0.032166684
ENST00000396070.6,0.032383926
ENST00000470852.5,0.032630896
ENST00000246747.9,0.032630896
ENST00000502453.1,0.033019763
ENST00000417181.5,0.033136351
ENST00000497856.6,0.033340933
ENST00000578038.1,0.033487071
ENST00000527983.5,0.033604374
ENST00000484082.1,0.033657633
ENST00000477733.1,0.034661117
ENST00000320623.10,0.034792821
ENST00000678774.1,0.034957413
ENST00000507273.5,0.034957413
ENST00000680920.1,0.035141925
ENST00000629090.2,0.035141925
