Ensayo de Compresion - Specimen_RawData_1
C10: 4.2307, C20: 0.7475, C30: 0.0000 (kPa)
Lambda Stress(kPa)
0.96131579 0.28699336
0.96124781 0.28910315
0.96114474 0.28969903
0.96107456 0.28954949
0.96097368 0.28859028
0.96087061 0.29249316
0.96076754 0.29194841
0.96066447 0.29289845
0.96059649 0.29456856
0.96049342 0.29347274
0.96042544 0.29277274
0.96032237 0.29659745
0.96025439 0.29642554
0.96015132 0.29564677
0.96008114 0.29702087
0.95998026 0.29732912
0.95991009 0.29720933
0.95980702 0.29575948
0.95973904 0.29935099
0.95963596 0.29696609
0.95956798 0.29897340
0.95946491 0.29822503
0.95939693 0.29833207
0.95929386 0.29901614
0.95919079 0.29766498
0.95912281 0.29782476
0.95901974 0.29890809
0.95891667 0.29870265
0.95884868 0.29857599
0.95874561 0.29973425
0.95864254 0.30011634
0.95857456 0.29922882
0.95850658 0.29972730
0.95843640 0.30040578
0.95833553 0.29872496
0.95823246 0.30162946
0.95812939 0.30195088
0.95802632 0.30111288
0.95792325 0.30157729
0.95782018 0.30362217
0.95771711 0.30060930
0.95764912 0.30266492
0.95754605 0.30230127
0.95744298 0.30165932
0.95737500 0.29859106
0.95727193 0.30015363
0.95716886 0.29944438
0.95710088 0.29694121
0.95699781 0.29266788
0.95692982 0.27238934
0.95682675 0.25084128
0.95672368 0.24749132
0.95665570 0.24321135
0.95655263 0.23930657
0.95644956 0.23987453
0.95634649 0.24046491
0.95627851 0.24087614
0.95617544 0.23718352
0.95607237 0.23969729
0.95596930 0.23916815
0.95590132 0.24050321
0.95579825 0.24152126
0.95569518 0.24126992
0.95559211 0.24264059
0.95549123 0.24446952
0.95538816 0.24406777
0.95528509 0.24511489
0.95518202 0.24542621
0.95507895 0.24717842
0.95501096 0.24990747
0.95490789 0.24900257
0.95480482 0.24958343
0.95473684 0.25138123
0.95463377 0.25267436
0.95456579 0.25396154
0.95446272 0.25244158
0.95435965 0.25467913
0.95425658 0.25552146
0.95415351 0.25547137
0.95405044 0.26023433
0.95398246 0.25882895
0.95387939 0.25859860
0.95381140 0.26131587
0.95370833 0.26162488
0.95364035 0.26432645
0.95357237 0.26018635
0.95346930 0.26323011
0.95339912 0.26539835
0.95333114 0.26534946
0.95322807 0.26610727
0.95312719 0.26853573
0.95305702 0.26715294
0.95298904 0.26889371
0.95288596 0.26887211
0.95281798 0.26951181
0.95271491 0.27202057
0.95264693 0.27446403
0.95254386 0.27462146
0.95247588 0.27517069
0.95237281 0.27783507
0.95230482 0.27732883
0.95220175 0.27713420
0.95209868 0.28084501
0.95199561 0.28052285
0.95189254 0.28141252
0.95178947 0.28301251
0.95168640 0.28503094
0.95161842 0.28433757
0.95151535 0.28745461
0.95144737 0.28553504
0.95134430 0.28844205
0.95124123 0.28909102
0.95117325 0.28975052
0.95107018 0.29085510
0.95100219 0.29099125
0.95089912 0.29326862
0.95079605 0.29402132
0.95069298 0.29596915
0.95062500 0.29724777
0.95052193 0.29961317
0.95041886 0.30005119
0.95031579 0.29830110
0.95021272 0.29908263
0.95014474 0.30012144
0.95004167 0.30450843
0.94997368 0.30247858
0.94987061 0.30661073
0.94980263 0.30618576
0.94969956 0.30858539
0.94956140 0.30774956
0.94946053 0.30744082
0.94935746 0.30989911
0.94925439 0.30949996
0.94915132 0.31178593
0.94904825 0.31338530
0.94898026 0.31559999
0.94887719 0.31672889
0.94877412 0.31742513
0.94870614 0.31780495
0.94860307 0.31961905
0.94850000 0.32081412
0.94839693 0.32026504
0.94829386 0.32547624
0.94822588 0.32440229
0.94812281 0.32659469
0.94801974 0.32570249
0.94795175 0.32576107
0.94788377 0.32824041
0.94778070 0.32643961
0.94771272 0.32785350
0.94760965 0.32919541
0.94754167 0.32923881
0.94743860 0.33299250
0.94733553 0.33250218
0.94726754 0.33430946
0.94716447 0.33416888
0.94706140 0.33554651
0.94699342 0.33712234
0.94689035 0.33652760
0.94678728 0.33572466
0.94671930 0.33695780
0.94661623 0.33981471
0.94651316 0.34129501
0.94644518 0.34318929
0.94634211 0.34310730
0.94627193 0.34236058
0.94620395 0.34289363
0.94613596 0.34242291
0.94606798 0.34495568
0.94596491 0.34722246
0.94589693 0.34596364
0.94579386 0.34674347
0.94569079 0.34929920
0.94558772 0.34887474
0.94548465 0.35100617
0.94538158 0.35201538
0.94527851 0.35316548
0.94517544 0.35395139
0.94507456 0.35636434
0.94497149 0.35696407
0.94486842 0.35783097
0.94476535 0.35962566
0.94469737 0.35865700
0.94459430 0.36174281
0.94452632 0.36022493
0.94442325 0.36060863
0.94435307 0.36247413
0.94428509 0.36350171
0.94421711 0.36278550
0.94411404 0.36503834
0.94404605 0.36505656
0.94394298 0.36636669
0.94387500 0.36879534
0.94377193 0.36940027
0.94370395 0.36937366
0.94360088 0.37035657
0.94349781 0.37450504
0.94339474 0.37140988
0.94329167 0.37480866
0.94318860 0.37733954
0.94308553 0.37650535
0.94298246 0.37730894
0.94288158 0.37805395
0.94277851 0.38140566
0.94267544 0.38133433
0.94257237 0.38131486
0.94250439 0.38484975
0.94240132 0.38360058
0.94233333 0.38664593
0.94223026 0.38718116
0.94212719 0.38811604
0.94202412 0.38765164
0.94192105 0.38875648
0.94181798 0.39197031
0.94175000 0.39289665
0.94164693 0.39489591
0.94154386 0.39499326
0.94147588 0.39401038
0.94137281 0.39568343
0.94130482 0.39522584
0.94120175 0.39851076
0.94113377 0.39789773
0.94103070 0.39831262
0.94096272 0.39976267
0.94085965 0.39967452
0.94079167 0.40130162
0.94068860 0.40346046
0.94061842 0.40332688
0.94051754 0.40323928
0.94044737 0.40493847
0.94034430 0.40577341
0.94027632 0.40710360
0.94017325 0.40868432
0.94010526 0.41036125
0.94003728 0.41483016
0.93993421 0.41096610
0.93986623 0.41171185
0.93976316 0.41490858
0.93966009 0.41483354
0.93955702 0.41433028
0.93945395 0.41723035
0.93935088 0.41746507
0.93924781 0.41945632
0.93917982 0.42031895
0.93907675 0.42177820
0.93900877 0.42234534
0.93890570 0.42209978
0.93880263 0.42532889
0.93873465 0.42639721
0.93863158 0.42624713
0.93852851 0.42932732
0.93846053 0.42881688
0.93835746 0.43223539
0.93825439 0.43370672
0.93818640 0.43417661
0.93808333 0.43319273
0.93798026 0.43523104
0.93791228 0.43760216
0.93780921 0.43802571
0.93770614 0.43889126
0.93760307 0.44177537
0.93753509 0.44173597
0.93743202 0.44333748
0.93732895 0.44399582
0.93726096 0.44443498
0.93715789 0.44739807
0.93705482 0.44818093
0.93695175 0.44939800
0.93685088 0.44993120
0.93674781 0.45303956
0.93664474 0.45650052
0.93654167 0.45434551
0.93643860 0.45789384
0.93633553 0.45902804
0.93626754 0.45900207
0.93616447 0.45961362
0.93609649 0.46278740
0.93599342 0.46239076
0.93589035 0.46436226
0.93578728 0.46461261
0.93568421 0.46669370
0.93558333 0.46779027
0.93551316 0.46946068
0.93541009 0.47249616
0.93534211 0.47303512
0.93527412 0.47175869
0.93520614 0.47310599
0.93510307 0.47136379
0.93503289 0.47340041
0.93493202 0.47769860
0.93486184 0.47511362
0.93475877 0.47800673
0.93465789 0.48026868
0.93455482 0.48172854
0.93448465 0.48191266
0.93438377 0.48261691
0.93431360 0.48603134
0.93421053 0.48639616
0.93410965 0.48861178
0.93403947 0.49024118
0.93393860 0.49252935
0.93386842 0.49332892
0.93380044 0.49367457
0.93373246 0.49413757
0.93366228 0.49757071
0.93359430 0.49714566
0.93349123 0.49979020
0.93338816 0.50027778
0.93328728 0.50279054
0.93318421 0.50682682
0.93308114 0.50713012
0.93297807 0.50943480
0.93287500 0.51171697
0.93277193 0.51404260
0.93266886 0.51408840
0.93260088 0.51696764
